province_name,year,index_score,topic_name
البرز,1402,2.8826942,معنویت و ارزش‌های دینی
ایلام,1402,7.9393024,معنویت و ارزش‌های دینی
بوشهر,1402,15.773451,معنویت و ارزش‌های دینی
تهران,1402,8.638629,معنویت و ارزش‌های دینی
خراسان جنوبی,1402,70.696045,معنویت و ارزش‌های دینی
خراسان رضوی,1402,19.1623,معنویت و ارزش‌های دینی
خراسان شمالی,1402,11.016033,معنویت و ارزش‌های دینی
خوزستان,1402,63.534569,معنویت و ارزش‌های دینی
زنجان,1402,58.649155,معنویت و ارزش‌های دینی
سمنان,1402,44.200283,معنویت و ارزش‌های دینی
سیستان و بلوچستان,1402,78.120041,معنویت و ارزش‌های دینی
فارس,1402,10.685606,معنویت و ارزش‌های دینی
قزوین,1402,3.5752244,معنویت و ارزش‌های دینی
قم,1402,37.998436,معنویت و ارزش‌های دینی
کردستان,1402,4.9360099,معنویت و ارزش‌های دینی
کرمان,1402,42.431915,معنویت و ارزش‌های دینی
کرمانشاه,1402,15.775601,معنویت و ارزش‌های دینی
کهگیلویه و بویراحمد,1402,11.801606,معنویت و ارزش‌های دینی
لرستان,1402,21.484955,معنویت و ارزش‌های دینی
مازندران,1402,27.858131,معنویت و ارزش‌های دینی
مرکزی,1402,2.9915411,معنویت و ارزش‌های دینی
هرمزگان,1402,15.87872,معنویت و ارزش‌های دینی
همدان,1402,10.030489,معنویت و ارزش‌های دینی
چهارمحال و بختیاری,1402,6.752214,معنویت و ارزش‌های دینی
کل کشور,1402,29.770821,معنویت و ارزش‌های دینی
گلستان,1402,15.213149,معنویت و ارزش‌های دینی
گیلان,1402,2.4320724,معنویت و ارزش‌های دینی
یزد,1402,40.659901,معنویت و ارزش‌های دینی
آذربایجان شرقی,1394,8.6246557,زندگی خانوادگی
آذربایجان غربی,1394,31.22406,زندگی خانوادگی
اردبیل,1394,47.797832,زندگی خانوادگی
اصفهان,1394,15.426887,زندگی خانوادگی
البرز,1394,1.574097,زندگی خانوادگی
ایلام,1394,27.873159,زندگی خانوادگی
بوشهر,1394,8.5521622,زندگی خانوادگی
تهران,1394,3.1952424,زندگی خانوادگی
خراسان جنوبی,1394,32.850563,زندگی خانوادگی
خراسان رضوی,1394,2.829581,زندگی خانوادگی
خراسان شمالی,1394,33.997707,زندگی خانوادگی
خوزستان,1394,43.161617,زندگی خانوادگی
زنجان,1394,39.414814,زندگی خانوادگی
سمنان,1394,8.8394356,زندگی خانوادگی
سیستان و بلوچستان,1394,24.260889,زندگی خانوادگی
فارس,1394,20.121584,زندگی خانوادگی
قزوین,1394,3.106411,زندگی خانوادگی
قم,1394,5.3392377,زندگی خانوادگی
کردستان,1394,15.088875,زندگی خانوادگی
کرمان,1394,34.462997,زندگی خانوادگی
کرمانشاه,1394,9.2041302,زندگی خانوادگی
کهگیلویه و بویراحمد,1394,15.609396,زندگی خانوادگی
لرستان,1394,17.737043,زندگی خانوادگی
مازندران,1394,10.701606,زندگی خانوادگی
مرکزی,1394,2.3454814,زندگی خانوادگی
هرمزگان,1394,23.517294,زندگی خانوادگی
همدان,1394,25.036959,زندگی خانوادگی
چهارمحال و بختیاری,1394,50.502911,زندگی خانوادگی
کل کشور,1394,20.315819,زندگی خانوادگی
گلستان,1394,29.073931,زندگی خانوادگی
گیلان,1394,9.0712328,زندگی خانوادگی
یزد,1394,1.368149,زندگی خانوادگی
آذربایجان شرقی,1395,20.068895,زندگی خانوادگی
آذربایجان غربی,1395,30.592602,زندگی خانوادگی
اردبیل,1395,25.189054,زندگی خانوادگی
اصفهان,1395,11.048796,زندگی خانوادگی
البرز,1395,4.2327824,زندگی خانوادگی
ایلام,1395,4.5050902,زندگی خانوادگی
بوشهر,1395,36.183384,زندگی خانوادگی
تهران,1395,1.5943898,زندگی خانوادگی
خراسان جنوبی,1395,43.685295,زندگی خانوادگی
خراسان رضوی,1395,57.661518,زندگی خانوادگی
خراسان شمالی,1395,2.6947143,زندگی خانوادگی
خوزستان,1395,61.858932,زندگی خانوادگی
زنجان,1395,28.933615,زندگی خانوادگی
سمنان,1395,28.151091,زندگی خانوادگی
سیستان و بلوچستان,1395,55.755001,زندگی خانوادگی
فارس,1395,25.016085,زندگی خانوادگی
قزوین,1395,16.220648,زندگی خانوادگی
قم,1395,13.601226,زندگی خانوادگی
کردستان,1395,10.009658,زندگی خانوادگی
کرمان,1395,50.085701,زندگی خانوادگی
کرمانشاه,1395,3.200495,زندگی خانوادگی
کهگیلویه و بویراحمد,1395,5.810883,زندگی خانوادگی
لرستان,1395,3.2479415,زندگی خانوادگی
مازندران,1395,6.8023338,زندگی خانوادگی
مرکزی,1395,.47430554,زندگی خانوادگی
هرمزگان,1395,38.962193,زندگی خانوادگی
همدان,1395,2.7839062,زندگی خانوادگی
چهارمحال و بختیاری,1395,17.296185,زندگی خانوادگی
کل کشور,1395,4.4872732,زندگی خانوادگی
گلستان,1395,38.881947,زندگی خانوادگی
گیلان,1395,1.3812793,زندگی خانوادگی
یزد,1395,7.7922187,زندگی خانوادگی
آذربایجان شرقی,1396,22.809002,زندگی خانوادگی
آذربایجان غربی,1396,34.410446,زندگی خانوادگی
اردبیل,1396,36.275906,زندگی خانوادگی
اصفهان,1396,12.640151,زندگی خانوادگی
البرز,1396,4.9881501,زندگی خانوادگی
ایلام,1396,19.987568,زندگی خانوادگی
بوشهر,1396,17.687433,زندگی خانوادگی
تهران,1396,1.5510465,زندگی خانوادگی
خراسان جنوبی,1396,7.7150173,زندگی خانوادگی
خراسان رضوی,1396,27.578203,زندگی خانوادگی
خراسان شمالی,1396,29.274864,زندگی خانوادگی
خوزستان,1396,.24560523,زندگی خانوادگی
زنجان,1396,12.275507,زندگی خانوادگی
سمنان,1396,23.153212,زندگی خانوادگی
سیستان و بلوچستان,1396,43.285076,زندگی خانوادگی
فارس,1396,8.2555618,زندگی خانوادگی
قزوین,1396,21.044445,زندگی خانوادگی
قم,1396,22.458136,زندگی خانوادگی
کردستان,1396,1.3322488,زندگی خانوادگی
کرمان,1396,10.39757,زندگی خانوادگی
کرمانشاه,1396,7.4058099,زندگی خانوادگی
کهگیلویه و بویراحمد,1396,40.043259,زندگی خانوادگی
لرستان,1396,24.638058,زندگی خانوادگی
مازندران,1396,9.0371904,زندگی خانوادگی
مرکزی,1396,.29055911,زندگی خانوادگی
هرمزگان,1396,32.200562,زندگی خانوادگی
همدان,1396,16.551987,زندگی خانوادگی
چهارمحال و بختیاری,1396,62.48238,زندگی خانوادگی
کل کشور,1396,3.8058124,زندگی خانوادگی
گلستان,1396,16.021578,زندگی خانوادگی
گیلان,1396,1.2875445,زندگی خانوادگی
یزد,1396,39.19891,زندگی خانوادگی
آذربایجان شرقی,1397,5.4251094,زندگی خانوادگی
آذربایجان غربی,1397,17.256878,زندگی خانوادگی
اردبیل,1397,1.3860276,زندگی خانوادگی
اصفهان,1397,16.434771,زندگی خانوادگی
البرز,1397,4.4006157,زندگی خانوادگی
ایلام,1397,30.451792,زندگی خانوادگی
بوشهر,1397,10.504439,زندگی خانوادگی
تهران,1397,2.3821306,زندگی خانوادگی
خراسان جنوبی,1397,64.669434,زندگی خانوادگی
خراسان رضوی,1397,39.036255,زندگی خانوادگی
خراسان شمالی,1397,15.414588,زندگی خانوادگی
خوزستان,1397,53.34219,زندگی خانوادگی
زنجان,1397,41.449318,زندگی خانوادگی
سمنان,1397,7.218152,زندگی خانوادگی
سیستان و بلوچستان,1397,28.103456,زندگی خانوادگی
فارس,1397,30.440699,زندگی خانوادگی
قزوین,1397,11.0648,زندگی خانوادگی
قم,1397,18.683294,زندگی خانوادگی
کردستان,1397,9.8509521,زندگی خانوادگی
کرمان,1397,33.548012,زندگی خانوادگی
کرمانشاه,1397,3.2672367,زندگی خانوادگی
کهگیلویه و بویراحمد,1397,29.904755,زندگی خانوادگی
لرستان,1397,26.28101,زندگی خانوادگی
مازندران,1397,2.9908872,زندگی خانوادگی
مرکزی,1397,7.6573267,زندگی خانوادگی
هرمزگان,1397,45.664726,زندگی خانوادگی
همدان,1397,20.489159,زندگی خانوادگی
چهارمحال و بختیاری,1397,36.529602,زندگی خانوادگی
کل کشور,1397,11.647833,زندگی خانوادگی
گلستان,1397,31.208885,زندگی خانوادگی
گیلان,1397,.499089,زندگی خانوادگی
یزد,1397,12.655012,زندگی خانوادگی
آذربایجان شرقی,1398,3.4378121,زندگی خانوادگی
آذربایجان غربی,1398,6.6135569,زندگی خانوادگی
اردبیل,1398,3.0379698,زندگی خانوادگی
اصفهان,1398,7.7537074,زندگی خانوادگی
البرز,1398,1.2879834,زندگی خانوادگی
ایلام,1398,7.2983828,زندگی خانوادگی
بوشهر,1398,13.683956,زندگی خانوادگی
تهران,1398,3.0129037,زندگی خانوادگی
خراسان جنوبی,1398,18.778088,زندگی خانوادگی
خراسان رضوی,1398,7.1228933,زندگی خانوادگی
خراسان شمالی,1398,65.770638,زندگی خانوادگی
خوزستان,1398,39.959759,زندگی خانوادگی
زنجان,1398,17.326906,زندگی خانوادگی
سمنان,1398,4.5844398,زندگی خانوادگی
سیستان و بلوچستان,1398,32.447376,زندگی خانوادگی
فارس,1398,1.2219385,زندگی خانوادگی
قزوین,1398,1.0635508,زندگی خانوادگی
قم,1398,12.345778,زندگی خانوادگی
کردستان,1398,11.443694,زندگی خانوادگی
کرمان,1398,2.5378113,زندگی خانوادگی
کرمانشاه,1398,1.8010591,زندگی خانوادگی
کهگیلویه و بویراحمد,1398,28.811756,زندگی خانوادگی
لرستان,1398,17.901615,زندگی خانوادگی
مازندران,1398,1.6950849,زندگی خانوادگی
مرکزی,1398,4.6553383,زندگی خانوادگی
هرمزگان,1398,11.226894,زندگی خانوادگی
همدان,1398,12.402349,زندگی خانوادگی
چهارمحال و بختیاری,1398,2.464098,زندگی خانوادگی
کل کشور,1398,8.6800251,زندگی خانوادگی
گلستان,1398,71.624649,زندگی خانوادگی
گیلان,1398,10.707185,زندگی خانوادگی
یزد,1398,24.476744,زندگی خانوادگی
آذربایجان شرقی,1399,14.439384,زندگی خانوادگی
آذربایجان غربی,1399,1.9401337,زندگی خانوادگی
اردبیل,1399,21.248837,زندگی خانوادگی
اصفهان,1399,4.4559631,زندگی خانوادگی
البرز,1399,6.9322677,زندگی خانوادگی
ایلام,1399,2.3868241,زندگی خانوادگی
بوشهر,1399,10.421444,زندگی خانوادگی
تهران,1399,4.8291368,زندگی خانوادگی
خراسان جنوبی,1399,73.158882,زندگی خانوادگی
خراسان رضوی,1399,25.056871,زندگی خانوادگی
خراسان شمالی,1399,12.414732,زندگی خانوادگی
خوزستان,1399,15.30692,زندگی خانوادگی
زنجان,1399,4.2591429,زندگی خانوادگی
سمنان,1399,27.821264,زندگی خانوادگی
سیستان و بلوچستان,1399,43.382561,زندگی خانوادگی
فارس,1399,9.2459373,زندگی خانوادگی
قزوین,1399,7.6064625,زندگی خانوادگی
قم,1399,4.0419264,زندگی خانوادگی
کردستان,1399,.66791326,زندگی خانوادگی
کرمان,1399,46.50938,زندگی خانوادگی
کرمانشاه,1399,4.4825706,زندگی خانوادگی
کهگیلویه و بویراحمد,1399,20.841379,زندگی خانوادگی
لرستان,1399,20.058229,زندگی خانوادگی
مازندران,1399,5.8472447,زندگی خانوادگی
مرکزی,1399,7.6819415,زندگی خانوادگی
هرمزگان,1399,25.940105,زندگی خانوادگی
همدان,1399,21.184706,زندگی خانوادگی
چهارمحال و بختیاری,1399,4.624208,زندگی خانوادگی
کل کشور,1399,19.491278,زندگی خانوادگی
گلستان,1399,60.330822,زندگی خانوادگی
گیلان,1399,4.6412225,زندگی خانوادگی
یزد,1399,36.104984,زندگی خانوادگی
آذربایجان شرقی,1400,27.06399,زندگی خانوادگی
آذربایجان غربی,1400,41.989822,زندگی خانوادگی
اردبیل,1400,31.886414,زندگی خانوادگی
اصفهان,1400,25.604033,زندگی خانوادگی
البرز,1400,9.0748825,زندگی خانوادگی
ایلام,1400,25.706604,زندگی خانوادگی
بوشهر,1400,1.0780292,زندگی خانوادگی
تهران,1400,2.4884019,زندگی خانوادگی
خراسان جنوبی,1400,60.166256,زندگی خانوادگی
خراسان رضوی,1400,28.594542,زندگی خانوادگی
خراسان شمالی,1400,27.130377,زندگی خانوادگی
خوزستان,1400,46.716694,زندگی خانوادگی
زنجان,1400,17.772999,زندگی خانوادگی
سمنان,1400,4.8862815,زندگی خانوادگی
سیستان و بلوچستان,1400,41.479504,زندگی خانوادگی
فارس,1400,20.621735,زندگی خانوادگی
قزوین,1400,17.205214,زندگی خانوادگی
قم,1400,17.687469,زندگی خانوادگی
کردستان,1400,3.2501605,زندگی خانوادگی
کرمان,1400,23.276741,زندگی خانوادگی
کرمانشاه,1400,.073610917,زندگی خانوادگی
کهگیلویه و بویراحمد,1400,24.993689,زندگی خانوادگی
لرستان,1400,42.314018,زندگی خانوادگی
مازندران,1400,2.0594954,زندگی خانوادگی
مرکزی,1400,5.8701811,زندگی خانوادگی
هرمزگان,1400,34.873688,زندگی خانوادگی
همدان,1400,5.8754463,زندگی خانوادگی
چهارمحال و بختیاری,1400,74.080177,زندگی خانوادگی
کل کشور,1400,20.330688,زندگی خانوادگی
گلستان,1400,4.6031866,زندگی خانوادگی
گیلان,1400,7.0525618,زندگی خانوادگی
یزد,1400,25.090479,زندگی خانوادگی
آذربایجان شرقی,1401,25.481192,زندگی خانوادگی
آذربایجان غربی,1401,15.065689,زندگی خانوادگی
اردبیل,1401,14.381256,زندگی خانوادگی
اصفهان,1401,13.666488,زندگی خانوادگی
البرز,1401,9.7344036,زندگی خانوادگی
ایلام,1401,26.196346,زندگی خانوادگی
بوشهر,1401,12.301948,زندگی خانوادگی
تهران,1401,2.4992125,زندگی خانوادگی
خراسان جنوبی,1401,8.0837002,زندگی خانوادگی
خراسان رضوی,1401,37.137871,زندگی خانوادگی
خراسان شمالی,1401,.96642613,زندگی خانوادگی
خوزستان,1401,5.4396176,زندگی خانوادگی
زنجان,1401,33.993355,زندگی خانوادگی
سمنان,1401,4.2570353,زندگی خانوادگی
سیستان و بلوچستان,1401,2.8928685,زندگی خانوادگی
فارس,1401,8.7570772,زندگی خانوادگی
قزوین,1401,42.110714,زندگی خانوادگی
قم,1401,16.214487,زندگی خانوادگی
کردستان,1401,2.134007,زندگی خانوادگی
کرمان,1401,53.037411,زندگی خانوادگی
کرمانشاه,1401,4.4378161,زندگی خانوادگی
کهگیلویه و بویراحمد,1401,3.7061415,زندگی خانوادگی
لرستان,1401,11.183521,زندگی خانوادگی
مازندران,1401,11.357357,زندگی خانوادگی
مرکزی,1401,6.1720791,زندگی خانوادگی
هرمزگان,1401,39.636654,زندگی خانوادگی
همدان,1401,.55949438,زندگی خانوادگی
چهارمحال و بختیاری,1401,33.383606,زندگی خانوادگی
کل کشور,1401,1.2995298,زندگی خانوادگی
گلستان,1401,11.344087,زندگی خانوادگی
گیلان,1401,6.0172381,زندگی خانوادگی
یزد,1401,55.045296,زندگی خانوادگی
آذربایجان شرقی,1402,5.700593,زندگی خانوادگی
آذربایجان غربی,1402,42.071503,زندگی خانوادگی
اردبیل,1402,18.548986,زندگی خانوادگی
اصفهان,1402,2.3379223,زندگی خانوادگی
البرز,1402,4.5526876,زندگی خانوادگی
ایلام,1402,18.136408,زندگی خانوادگی
بوشهر,1402,9.5378923,زندگی خانوادگی
تهران,1402,5.1213069,زندگی خانوادگی
خراسان جنوبی,1402,59.501629,زندگی خانوادگی
خراسان رضوی,1402,39.944607,زندگی خانوادگی
خراسان شمالی,1402,6.6958556,زندگی خانوادگی
خوزستان,1402,7.4153137,زندگی خانوادگی
زنجان,1402,27.286592,زندگی خانوادگی
سمنان,1402,12.657037,زندگی خانوادگی
سیستان و بلوچستان,1402,17.136082,زندگی خانوادگی
فارس,1402,7.4075241,زندگی خانوادگی
قزوین,1402,51.749722,زندگی خانوادگی
قم,1402,13.032422,زندگی خانوادگی
کردستان,1402,1.8796619,زندگی خانوادگی
کرمان,1402,31.680317,زندگی خانوادگی
کرمانشاه,1402,7.9200201,زندگی خانوادگی
کهگیلویه و بویراحمد,1402,4.4411364,زندگی خانوادگی
لرستان,1402,11.991096,زندگی خانوادگی
مازندران,1402,20.310953,زندگی خانوادگی
مرکزی,1402,.33929712,زندگی خانوادگی
هرمزگان,1402,72.857269,زندگی خانوادگی
همدان,1402,8.4247942,زندگی خانوادگی
چهارمحال و بختیاری,1402,28.477942,زندگی خانوادگی
کل کشور,1402,9.0068426,زندگی خانوادگی
گلستان,1402,5.9527235,زندگی خانوادگی
گیلان,1402,2.8644302,زندگی خانوادگی
یزد,1402,37.659821,زندگی خانوادگی
آذربایجان شرقی,1396,20.971415,مصرف فرهنگی و رسانه‌ای
آذربایجان غربی,1396,.86004621,مصرف فرهنگی و رسانه‌ای
اردبیل,1396,4.1659613,مصرف فرهنگی و رسانه‌ای
اصفهان,1396,49.248394,مصرف فرهنگی و رسانه‌ای
البرز,1396,8.4531975,مصرف فرهنگی و رسانه‌ای
ایلام,1396,12.812683,مصرف فرهنگی و رسانه‌ای
بوشهر,1396,46.719646,مصرف فرهنگی و رسانه‌ای
تهران,1396,19.441732,مصرف فرهنگی و رسانه‌ای
خراسان جنوبی,1396,1.2062259,مصرف فرهنگی و رسانه‌ای
خراسان رضوی,1396,21.08898,مصرف فرهنگی و رسانه‌ای
خراسان شمالی,1396,13.734252,مصرف فرهنگی و رسانه‌ای
خوزستان,1396,5.3185234,مصرف فرهنگی و رسانه‌ای
زنجان,1396,24.953812,مصرف فرهنگی و رسانه‌ای
سمنان,1396,1.9263887,مصرف فرهنگی و رسانه‌ای
سیستان و بلوچستان,1396,.9885124,مصرف فرهنگی و رسانه‌ای
فارس,1396,43.671688,مصرف فرهنگی و رسانه‌ای
قزوین,1396,5.9845743,مصرف فرهنگی و رسانه‌ای
قم,1396,35.665596,مصرف فرهنگی و رسانه‌ای
کردستان,1396,5.9021354,مصرف فرهنگی و رسانه‌ای
کرمان,1396,3.548269,مصرف فرهنگی و رسانه‌ای
کرمانشاه,1396,10.731269,مصرف فرهنگی و رسانه‌ای
کهگیلویه و بویراحمد,1396,17.70726,مصرف فرهنگی و رسانه‌ای
لرستان,1396,9.6723757,مصرف فرهنگی و رسانه‌ای
مازندران,1396,29.398794,مصرف فرهنگی و رسانه‌ای
مرکزی,1396,4.7053323,مصرف فرهنگی و رسانه‌ای
هرمزگان,1396,16.481335,مصرف فرهنگی و رسانه‌ای
همدان,1396,19.05076,مصرف فرهنگی و رسانه‌ای
چهارمحال و بختیاری,1396,21.917509,مصرف فرهنگی و رسانه‌ای
کل کشور,1396,2.7875912,مصرف فرهنگی و رسانه‌ای
گلستان,1396,65.468079,مصرف فرهنگی و رسانه‌ای
گیلان,1396,11.470789,مصرف فرهنگی و رسانه‌ای
یزد,1396,3.6202288,مصرف فرهنگی و رسانه‌ای
آذربایجان شرقی,1397,4.9567509,مصرف فرهنگی و رسانه‌ای
آذربایجان غربی,1397,4.8436542,مصرف فرهنگی و رسانه‌ای
اردبیل,1397,5.1780872,مصرف فرهنگی و رسانه‌ای
اصفهان,1397,70.605492,مصرف فرهنگی و رسانه‌ای
البرز,1397,10.534164,مصرف فرهنگی و رسانه‌ای
ایلام,1397,5.8065205,مصرف فرهنگی و رسانه‌ای
بوشهر,1397,16.684851,مصرف فرهنگی و رسانه‌ای
تهران,1397,52.831284,مصرف فرهنگی و رسانه‌ای
خراسان جنوبی,1397,3.5942047,مصرف فرهنگی و رسانه‌ای
خراسان رضوی,1397,32.915897,مصرف فرهنگی و رسانه‌ای
خراسان شمالی,1397,10.043339,مصرف فرهنگی و رسانه‌ای
خوزستان,1397,44.929375,مصرف فرهنگی و رسانه‌ای
زنجان,1397,44.291668,مصرف فرهنگی و رسانه‌ای
سمنان,1397,3.2133887,مصرف فرهنگی و رسانه‌ای
سیستان و بلوچستان,1397,.32293856,مصرف فرهنگی و رسانه‌ای
فارس,1397,9.5213804,مصرف فرهنگی و رسانه‌ای
قزوین,1397,29.207151,مصرف فرهنگی و رسانه‌ای
قم,1397,9.243104,مصرف فرهنگی و رسانه‌ای
کردستان,1397,13.337008,مصرف فرهنگی و رسانه‌ای
کرمان,1397,.50749582,مصرف فرهنگی و رسانه‌ای
کرمانشاه,1397,10.811522,مصرف فرهنگی و رسانه‌ای
کهگیلویه و بویراحمد,1397,6.1094313,مصرف فرهنگی و رسانه‌ای
لرستان,1397,45.474972,مصرف فرهنگی و رسانه‌ای
مازندران,1397,59.184341,مصرف فرهنگی و رسانه‌ای
مرکزی,1397,7.7885351,مصرف فرهنگی و رسانه‌ای
هرمزگان,1397,12.292713,مصرف فرهنگی و رسانه‌ای
همدان,1397,38.831688,مصرف فرهنگی و رسانه‌ای
چهارمحال و بختیاری,1397,14.899981,مصرف فرهنگی و رسانه‌ای
کل کشور,1397,6.5459895,مصرف فرهنگی و رسانه‌ای
گلستان,1397,9.1387033,مصرف فرهنگی و رسانه‌ای
گیلان,1397,8.2334642,مصرف فرهنگی و رسانه‌ای
یزد,1397,6.9664779,مصرف فرهنگی و رسانه‌ای
آذربایجان شرقی,1398,35.626373,مصرف فرهنگی و رسانه‌ای
آذربایجان غربی,1398,.92324209,مصرف فرهنگی و رسانه‌ای
اردبیل,1398,7.8952851,مصرف فرهنگی و رسانه‌ای
اصفهان,1398,15.694508,مصرف فرهنگی و رسانه‌ای
البرز,1398,8.8411388,مصرف فرهنگی و رسانه‌ای
ایلام,1398,2.0921209,مصرف فرهنگی و رسانه‌ای
بوشهر,1398,27.067995,مصرف فرهنگی و رسانه‌ای
تهران,1398,54.908569,مصرف فرهنگی و رسانه‌ای
خراسان جنوبی,1398,6.5029812,مصرف فرهنگی و رسانه‌ای
خراسان رضوی,1398,75.042488,مصرف فرهنگی و رسانه‌ای
خراسان شمالی,1398,6.9468722,مصرف فرهنگی و رسانه‌ای
خوزستان,1398,17.372602,مصرف فرهنگی و رسانه‌ای
زنجان,1398,81.650711,مصرف فرهنگی و رسانه‌ای
سمنان,1398,6.6011982,مصرف فرهنگی و رسانه‌ای
سیستان و بلوچستان,1398,2.6218724,مصرف فرهنگی و رسانه‌ای
فارس,1398,57.85413,مصرف فرهنگی و رسانه‌ای
قزوین,1398,23.546539,مصرف فرهنگی و رسانه‌ای
قم,1398,35.035091,مصرف فرهنگی و رسانه‌ای
کردستان,1398,34.620331,مصرف فرهنگی و رسانه‌ای
کرمان,1398,.86616927,مصرف فرهنگی و رسانه‌ای
کرمانشاه,1398,8.0312901,مصرف فرهنگی و رسانه‌ای
کهگیلویه و بویراحمد,1398,13.236071,مصرف فرهنگی و رسانه‌ای
لرستان,1398,12.701876,مصرف فرهنگی و رسانه‌ای
مازندران,1398,16.764202,مصرف فرهنگی و رسانه‌ای
مرکزی,1398,39.658936,مصرف فرهنگی و رسانه‌ای
هرمزگان,1398,34.073502,مصرف فرهنگی و رسانه‌ای
همدان,1398,8.2394419,مصرف فرهنگی و رسانه‌ای
چهارمحال و بختیاری,1398,9.1636772,مصرف فرهنگی و رسانه‌ای
کل کشور,1398,24.733931,مصرف فرهنگی و رسانه‌ای
گلستان,1398,2.2703829,مصرف فرهنگی و رسانه‌ای
گیلان,1398,1.8161677,مصرف فرهنگی و رسانه‌ای
یزد,1398,36.823879,مصرف فرهنگی و رسانه‌ای
آذربایجان شرقی,1399,21.653625,مصرف فرهنگی و رسانه‌ای
آذربایجان غربی,1399,7.557641,مصرف فرهنگی و رسانه‌ای
اردبیل,1399,3.4894738,مصرف فرهنگی و رسانه‌ای
اصفهان,1399,26.667076,مصرف فرهنگی و رسانه‌ای
البرز,1399,14.63478,مصرف فرهنگی و رسانه‌ای
ایلام,1399,8.5069103,مصرف فرهنگی و رسانه‌ای
بوشهر,1399,38.140648,مصرف فرهنگی و رسانه‌ای
تهران,1399,9.4312372,مصرف فرهنگی و رسانه‌ای
خراسان جنوبی,1399,21.575663,مصرف فرهنگی و رسانه‌ای
خراسان رضوی,1399,70.151482,مصرف فرهنگی و رسانه‌ای
خراسان شمالی,1399,2.0526218,مصرف فرهنگی و رسانه‌ای
خوزستان,1399,19.321297,مصرف فرهنگی و رسانه‌ای
زنجان,1399,32.818523,مصرف فرهنگی و رسانه‌ای
سمنان,1399,18.023497,مصرف فرهنگی و رسانه‌ای
سیستان و بلوچستان,1399,5.0293174,مصرف فرهنگی و رسانه‌ای
فارس,1399,24.416769,مصرف فرهنگی و رسانه‌ای
قزوین,1399,10.227272,مصرف فرهنگی و رسانه‌ای
قم,1399,3.2369258,مصرف فرهنگی و رسانه‌ای
کردستان,1399,25.983492,مصرف فرهنگی و رسانه‌ای
کرمان,1399,6.0883956,مصرف فرهنگی و رسانه‌ای
کرمانشاه,1399,11.620717,مصرف فرهنگی و رسانه‌ای
کهگیلویه و بویراحمد,1399,16.018728,مصرف فرهنگی و رسانه‌ای
لرستان,1399,24.317081,مصرف فرهنگی و رسانه‌ای
مازندران,1399,48.407043,مصرف فرهنگی و رسانه‌ای
مرکزی,1399,22.498409,مصرف فرهنگی و رسانه‌ای
هرمزگان,1399,28.298714,مصرف فرهنگی و رسانه‌ای
همدان,1399,54.51561,مصرف فرهنگی و رسانه‌ای
چهارمحال و بختیاری,1399,25.747187,مصرف فرهنگی و رسانه‌ای
کل کشور,1399,7.8718066,مصرف فرهنگی و رسانه‌ای
گلستان,1399,5.3963552,مصرف فرهنگی و رسانه‌ای
گیلان,1399,23.000589,مصرف فرهنگی و رسانه‌ای
یزد,1399,10.668324,مصرف فرهنگی و رسانه‌ای
