indicator_name,description,source_name
ضریب نفوذ اینترنت,شاخص «ضریب نفوذ اینترنت» میزان دسترسی افراد جامعه به اینترنت و استفاده آن‌ها از خدمات دیجیتال را نشان می‌دهد. این شاخص تنها یک عدد ارتباطی نیست، بلکه تصویری از میزان پیوند جامعه با دنیای اطلاعات و خدمات آنلاین ارائه می‌کند. هرچه این ضریب بالاتر باشد، دسترسی به آموزش، فرصت‌های شغلی، خدمات شهری و حتی مشارکت اجتماعی گسترده‌تر خواهد بود و شکاف دیجیتال در جامعه کمتر می‌شود.,وزارت ارتباطات
پوشش شبکه برق,دسترسی به شبکه رسمی برق، یکی از پیش‌نیازهای اساسی برخورداری از خدمات عمومی و توسعه اقتصادی و اجتماعی محسوب می‌شود. پوشش این زیرساخت، بیانگر سهم خانوارها یا جمعیتی است که امکان استفاده پایدار از انرژی الکتریکی را دارند و از مزایای آن در حوزه‌هایی مانند آموزش، سلامت، رفاه و فعالیت‌های اقتصادی بهره‌مند هستند.,مرکز آمار
پوشش فاضلاب شهری,شاخص «پوشش فاضلاب شهری» نشان می‌دهد چه سهمی از جمعیت شهری به شبکه جمع‌آوری و دفع بهداشتی فاضلاب متصل هستند. این شاخص یکی از معیارهای مهم سلامت عمومی و کیفیت زیرساخت‌های شهری است و نقش مستقیمی در کاهش آلودگی‌های محیطی، پیشگیری از بیماری‌ها و ارتقای سطح بهداشت دارد. افزایش این پوشش بیانگر توسعه‌یافتگی خدمات شهری و بهبود شرایط زیست‌محیطی و رفاهی در شهرهاست.,شرکت مهندسی آب و فاضلاب کشور
پوشش گازرسانی,بهره‌مندی از شبکه گازرسانی، یکی از مهم‌ترین زیرساخت‌های تأمین انرژی در خانوارها به شمار می‌رود. گستره پوشش این شبکه بیانگر میزان دسترسی خانوارها یا جمعیت به گاز طبیعی است؛ منبعی که با فراهم کردن انرژی پایدار، به کاهش هزینه‌های سوخت، ارتقای ایمنی و بهبود شرایط زندگی کمک می‌کند و وابستگی به سوخت‌های سنتی را کاهش می‌دهد.,مرکز آمار
پوشش آب آشامیدنی سالم,برخورداری از آب آشامیدنی سالم، یکی از اساسی‌ترین مؤلفه‌های تأمین نیازهای اولیه، سلامت عمومی و کیفیت زندگی است. این شاخص، سهم جمعیتی را منعکس می‌کند که در محل سکونت خود به شبکه آب سالم و بهداشتی دسترسی دارند. گسترش این زیرساخت، علاوه بر ارتقای رفاه اجتماعی، بیانگر وضعیت توسعه خدمات عمومی و زیرساخت‌های پایه در جامعه است.,وزارت نیرو
ضریب نفوذ تلفن ثابت,اینکه چه نسبت از خانوارها یا جمعیت به شبکه تلفن ثابت دسترسی دارند در شاخصی با عنوان «ضریب نفوذ تلفن ثابت» اندازه‌گیری می‌شود. این شاخص، علاوه بر نقش ارتباطی، تصویرگر توسعه زیرساخت‌های پایه شهری و میزان دسترسی مستمر و پایدار به خدمات ارتباطی است. افزایش آن معمولاً بیانگر ارتقای کیفیت خدمات شهری، سهولت دسترسی به اطلاعات و کاهش محدودیت‌های ارتباطی در جامعه است. البته با وجود جایگزین‌های قدرتمندی مانند تلفن همراه، باید انتظار داشت که نفوذ این خدمات رو به کاهش بگذارد.,وزارت ارتباطات
نرخ اشتغال غیررسمی,این شاخص درصد شاغلانی را نشان می‌دهد که بدون قرارداد رسمی و مزایای قانونی مانند بیمه تأمین اجتماعی فعالیت می‌کنند. اهمیت این آمار در سنجش میزان ناپایداری شغلی و آسیب‌پذیری نیروی کار در برابر نوسانات اقتصادی است. بالا بودن این نرخ به معنای رواج مشاغلی است که در فرهنگ اقتصادی جامعه، فاقد حمایت‌های قانونی و امنیت لازم برای آینده شاغلان محسوب می‌شوند.,مرکز آمار
شکاف جنسیتی بیکاری,این شاخص تفاوت درصد بیکاری میان زنان و مردان را در بازار کار اندازه‌گیری می‌کند. عدد مثبت به معنای بالاتر بودن نرخ بیکاری زنان و عدد منفی به معنای پایین‌تر بودن آن است. وجود شکاف عمیق، نشان‌دهنده نابرابری در فرصت‌های شغلی و موانع فرهنگی یا ساختاری پیش روی زنان است. تحلیل این شاخص برای برنامه‌ریزی در جهت عدالت اقتصادی و بهره‌گیری از توانمندی تمامی آحاد جامعه در مسیر رشد ضروری است.,مرکز آمار
سن شروع به کار مردان,شاخص «میانگین سن شروع به کار» نشان می‌دهد افراد به طور متوسط در چه سنی وارد بازار کار می‌شوند و نخستین تجربه اشتغال خود را آغاز می‌کنند. این شاخص با استفاده از داده‌های خام طرح آمارگیری نیروی کار (LFS) محاسبه می‌شود و تصویری از زمان ورود نیروی انسانی به فعالیت اقتصادی ارائه می‌دهد. اهمیت آن در تحلیل وضعیت اشتغال، طول دوره وابستگی اقتصادی، گذار از تحصیل به کار و تغییرات ساختار بازار کار در جامعه است.,مرکز آمار
نرخ بیکاری زنان,این شاخص از تقسیم تعداد افراد جویای کار که موفق به یافتن شغل نشده‌اند بر کل جمعیت فعال به دست می‌آید. بیکاری فراتر از یک عدد، نشان‌دهنده هدررفت سرمایه انسانی و زمینه‌ساز بروز آسیب‌های اجتماعی است. بررسی این نرخ به ما کمک می‌کند تا تعادل میان عرضه و تقاضای نیروی کار را در سطح استان‌ها و کشور بسنجیم.,مرکز آمار
نرخ بیکاری مردان,این شاخص از تقسیم تعداد افراد جویای کار که موفق به یافتن شغل نشده‌اند بر کل جمعیت فعال به دست می‌آید. بیکاری فراتر از یک عدد، نشان‌دهنده هدررفت سرمایه انسانی و زمینه‌ساز بروز آسیب‌های اجتماعی است. بررسی این نرخ به ما کمک می‌کند تا تعادل میان عرضه و تقاضای نیروی کار را در سطح استان‌ها و کشور بسنجیم.,مرکز آمار
نرخ مشارکت اقتصادی زنان,نرخ مشارکت اقتصادی افراد در سن کار، با استفاده از نسبت جمعیت فعال (شاغل و بیکار) به کل جمعیت این گروه سنی سنجیده می‌شود.این عدد گویای میزان تمایل و پویایی افراد برای ورود به بازار کار و ایفای نقش در چرخه تولید است. بالا بودن این نرخ در یک فرهنگ، نشان‌دهنده انگیزه بالای اجتماعی برای فعالیت اقتصادی، کسب درآمد و مسیر توسعه ملی است.,مرکز آمار
نرخ مشارکت اقتصادی مردان,نرخ مشارکت اقتصادی افراد در سن کار، با استفاده از نسبت جمعیت فعال (شاغل و بیکار) به کل جمعیت این گروه سنی سنجیده می‌شود.این عدد گویای میزان تمایل و پویایی افراد برای ورود به بازار کار و ایفای نقش در چرخه تولید است. بالا بودن این نرخ در یک فرهنگ، نشان‌دهنده انگیزه بالای اجتماعی برای فعالیت اقتصادی، کسب درآمد و مسیر توسعه ملی است.,مرکز آمار
تعداد زنان بدون همسر براثر طلاق,شمار زنانی که پس از طلاق بدون همسر زندگی می‌کنند، مبنای این سنجه را تشکیل می‌دهد.اهمیت این آمار در شناسایی گروه‌های نیازمند حمایت‌های اجتماعی و توانمندسازی اقتصادی است. تحلیل این شاخص به برنامه‌ریزان فرهنگی کمک می‌کند تا چالش‌های زیستی و معیشتی این گروه را درک کرده و بستر لازم برای بازگشت آن‌ها به چرخه زندگی پایدار را فراهم کنند.,مرکز آمار
میزان طلاق زودهنگام,از میان طلاق‌های ثبت‌شده، آن دسته که در نخستین سال زندگی مشترک رخ داده‌اند، موضوع سنجش این متغیر هستند.بالا بودن این آمار، می‌تواند نشانه ضعف در شناخت متقابل، انتخاب‌های هیجانی یا نبود مهارت‌های حل مسئله در ابتدای مسیر باشد. این عدد بر ضرورت جدی آموزش‌های پیش از ازدواج تاکید دارد تا از فروپاشی سریع کانون خانواده و هدررفت سرمایه‌های عاطفی جامعه جلوگیری شود.,سازمان ثبت احوال
فراوانی طلاق,این عدد پیوندهای پایان‌یافته را نمایش می‌دهد. همچنین نشان‌دهنده میزان پایداری زندگی‌های مشترک در سطح کشور است. اهمیت این عدد در شناسایی مناطقی است که خانواده‌ها در حفظ انسجام خود با چالش روبرو شده‌اند. شناخت دقیق این آمار برای ریشه‌‌یابی مشکلات ارتباطی، تقویت آموزش‌های مهارت زندگی و حفظ سلامت روان در فرهنگ جامعه حیاتی است.,سازمان ثبت احوال
میزان خالص طلاق,میزان خالص طلاق که گاهی طلاق متأهلین نیز خوانده می‌شود، نشان می‌دهد از میان افرادی که در معرض واقعی طلاق قرار دارند، یعنی جمعیت متأهل، چه نسبتی در یک بازه زمانی مشخص از یکدیگر جدا می‌شوند. این شاخص با مقایسه تعداد طلاق‌های ثبت‌شده با کل جمعیت متأهل محاسبه شده و معمولاً به صورت نرخ بیان می‌شود. به همین دلیل، تصویری دقیق‌تر و معنادارتر از ثبات یا شکنندگی زندگی زناشویی ارائه می‌دهد.,سازمان ثبت احوال
میزان عمومی طلاق,این شاخص از تقسیم تعداد کل طلاق‌های ثبت شده در یک زمان مشخص بر کل جمعیت 10 سال به بالا محاسبه می‌شود. این معیار نشان می‌دهد که در هر سال، چه درصدی از خانواده‌های موجود با گسست روبرو شده‌اند. اهمیت آن در شناسایی روند فروپاشی پیوندها و برنامه‌ریزی برای مداخلات فرهنگی و مشاوره‌ای در سطح جامعه است.,سازمان ثبت احوال
سهم ازدواج‌های نخست,شاخص سهم ازدواج‌های نخست بیانگر نسبت ازدواج‌هایی است که در آن هر دو طرف، هم مرد و هم زن، برای اولین بار وارد زندگی زناشویی می‌شوند. این شاخص چشم‌اندازی از الگوهای تشکیل خانواده در جامعه ارائه می‌دهد و نشان می‌دهد چه میزان ازدواج‌ها از پایه و بدون تجربه زناشویی قبلی شکل می‌گیرند. اهمیت آن در این است که تغییرات این سهم می‌تواند بازتاب‌دهنده تحولات فرهنگی، اجتماعی و اقتصادی باشد و روندهای ازدواج مجدد، تاخیر در ازدواج یا تمایل به زندگی مشترک پایدار را روشن کند.,سازمان ثبت احوال
عمومیت ازدواج زنان,با استفاده از این شاخص می‌توان جایگاه ازدواج را به عنوان الگوی غالب تشکیل زندگی در جامعه ارزیابی کرد. اهمیت آن در این است که بفهمیم آیا تشکیل خانواده هنوز انتخاب اول و اصلی مردم برای زندگی محسوب می‌شود یا خیر. کاهش این آمار می‌تواند نشان‌دهنده تغییر در باورهای فرهنگی و تمایل به الگوهای جایگزین در ساختار اجتماعی باشد.,مرکز آمار
عمومیت ازدواج مردان,با استفاده از این شاخص می‌توان جایگاه ازدواج را به عنوان الگوی غالب تشکیل زندگی در جامعه ارزیابی کرد. اهمیت آن در این است که بفهمیم آیا تشکیل خانواده هنوز انتخاب اول و اصلی مردم برای زندگی محسوب می‌شود یا خیر. کاهش این آمار می‌تواند نشان‌دهنده تغییر در باورهای فرهنگی و تمایل به الگوهای جایگزین در ساختار اجتماعی باشد.,مرکز آمار
فراوانی ازدواج,این شاخص نشان‌دهنده تعداد کل پیوندهای زناشویی ثبت شده در یک بازه زمانی مشخص است که میزان تمایل جامعه به تشکیل خانواده را نشان می‌دهد. بالا بودن این عدد می‌تواند به معنای زنده بودن سنت خانواده‌محوری و وجود امید به آینده در میان جوانان باشد. البته ساختار جمعیتی جوان نیز در بالا بودن این شاخص تأثیر دارد.,سازمان ثبت احوال
میانگین سن ازدواج زنان,این عدد نشان می‌دهد که به‌طور متوسط، افراد در چه سنی اولین تجربه تشکیل خانواده را دارند. این شاخص تا حدودی از سبک زندگی جدید، طول دوران تحصیل و شرایط معیشتی تاثیر می‌پذیرد. درک این آمار به ما کمک می‌کند تا فاصله بین بلوغ فردی و شروع زندگی مشترک را تحلیل کنیم و متوجه شویم که الگوهای رفتاری نسل جوان در مواجهه با سنت‌ها چگونه تغییر کرده است.,مرکز آمار
میانگین سن ازدواج مردان,این عدد نشان می‌دهد که به‌طور متوسط، افراد در چه سنی اولین تجربه تشکیل خانواده را دارند. این شاخص تا حدودی از سبک زندگی جدید، طول دوران تحصیل و شرایط معیشتی تاثیر می‌پذیرد. درک این آمار به ما کمک می‌کند تا فاصله بین بلوغ فردی و شروع زندگی مشترک را تحلیل کنیم و متوجه شویم که الگوهای رفتاری نسل جوان در مواجهه با سنت‌ها چگونه تغییر کرده است.,مرکز آمار
میزان عمومی ازدواج,این شاخص از تقسیم تعداد ازدواج‌های ثبت شده در یک زمان مشخص بر کل جمعیت در سنین ازدواج همان تاریخ به دست می‌آید. برخلاف تعداد خام، این میزان نشان می‌دهد که چه نسبتی از افراد جامعه در طول یک سال زندگی مشترک خود را آغاز کرده‌اند. بررسی این رقم برای درک واقعی تمایل به تشکیل خانواده، فارغ از تغییرات در تعداد کل جمعیت کشور، حائر اهمیت است.,سازمان ثبت احوال
بار خدماتی مراکز سالمندان,این شاخص از تقسیم تعداد کل سالمندان خدمت‌گیرنده بر تعداد مراکز فعال به دست می‌آید و نشان‌دهنده میزان فشردگی تقاضا در هر واحد خدماتی است. افزایش این عدد می‌تواند بیانگر تکمیل ظرفیت مراکز و ضرورت توسعه زیرساخت‌های رفاهی باشد. این معیار از منظر اجتماعی، سطح دسترسی سالمندان به مراقبت‌های باکیفیت و میزان آمادگی جامعه برای مواجهه با پدیده سالمندی را پایش می‌کند.,مرکز آمار
پوشش بیمه تأمین اجتماعی,یکی از مهمترین خدمات حمایت اجتماعی کشور به واسطه‌ی سازمان تأمین اجتماعی ممکن می‌شود. بنابراین آن سهمی از جمعیت کشور که تحت حمایت نظام بیمه‌ای تأمین اجتماعی قرار دارند بیانگر میزان دسترسی افراد به خدمات حمایتی مانند بازنشستگی، درمان، بیکاری و سایر حمایت‌های اجتماعی است که در شاخص «پوشش بیمه تأمین اجتماعی» بازتاب یافته است. افزایش آن معمولاً نشان‌دهنده گسترش امنیت اقتصادی و اجتماعی و کاهش آسیب‌پذیری افراد در برابر شوک‌های مالی و شغلی است.,سازمان تأمین اجتماعی
نرخ پوشش بهزیستی,شاخص نرخ پوشش بهزیستی نشان‌دهنده سهم خانوارهایی است که از خدمات حمایتی سازمان بهزیستی برخوردار هستند. این خدمات می‌تواند شامل حمایت‌های مالی، توانبخشی، مراقبتی و اجتماعی باشد. این شاخص تصویری از گستره حمایت اجتماعی در جامعه ارائه می‌دهد.,سازمان بهزیستی
نرخ پوشش بیمه سلامت,سازمان بیمه سلامت از سال ۱۳۷۳ با هدف همگانی‌سازی خدمات درمانی تأسیس گردید. این شاخص میزان توفیق نظام سلامت در دستیابی به اهداف مصوب و درصد جمعیت تحت پوشش را ارزیابی می‌کند. پایش این آمار، چگونگی توزیع جغرافیایی خدمات و میزان تحقق عدالت در دسترسی به مراقبت‌های پزشکی را در استان‌ها آشکار می‌سازد.,سازمان بیمه سلامت ایران
میزان اعتماد در خانواده,این شاخص میزان اطمینان و تکیه عاطفی اعضای خانواده به یکدیگر را در مقیاس صفر تا صد اندازه‌گیری می‌کند. نمره صفر نشان‌دهنده کمترین میزان اطمینان و نمره صد گویای بالاترین سطح اعتماد  است. این معیار، ریشه‌های پیوند عاطفی را در جامعه نشان می‌دهد؛ زیرا هرچه اعتماد در فضای داخلی خانه بیشتر باشد، می‌تواند بر امنیت روانی افراد و پایداری خانواده تأثیرگذار باشد.,پیمایش سرمایه اجتماعی (وزارت کشور)
میزان رضایت از همسر,شاخص «رضایت از همسر» میزان خشنودی افراد از رابطه زناشویی خود را بر اساس ارزیابی ذهنی آنان نشان می‌دهد. این شاخص از طریق پیمایش و در قالب مقیاس ۱ تا ۵ سنجیده می‌شود که سطوح مختلفی از نارضایتی تا رضایت بالا را دربر می‌گیرد. اهمیت آن در این است که تصویری از کیفیت روابط خانوادگی ارائه می‌دهد و می‌تواند نشانه‌ای پیش‌نگر از پایداری یا آسیب‌پذیری زندگی زناشویی باشد.,پیمایش ارزش‌ها و نگرش‌ها
میزان فراغت با خانواده, درصد افرادی که خانواده را به عنوان تنها اولویت خود برای سپری کردن اوقات فراغت انتخاب کرده‌اند، به کمک پیمایش ملی محاسبه شده است. اهمیت این آمار در پایش میزان همبستگی عاطفی و مرکزیت نهاد خانواده در زندگی روزمره است. بالا بودن این درصد می‌تواند نشان‌دهنده قدرت پیوندهای خانگی و غلبه فرهنگ خانواده‌محوری بر سایر الگوهای گذران وقت در محیط‌های دوستانه یا انفرادی است.,پیمایش ارزش‌ها و نگرش‌ها
سرانه تعداد مدارس ابتدایی,این شاخص با تقسیم تعداد مدارس بر مجموع حوزه‌های شهری و روستایی، توازن توزیع فضاهای آموزشی را پایش می‌کند. خروجی این محاسبات مشخص می‌سازد که به طور متوسط در هر پهنه جغرافیایی چند واحد آموزشی دایر است تا کودکان مجبور به طی مسافت‌های طولانی نشوند. این معیار ابزاری کلیدی برای برنامه‌ریزی توسعه فیزیکی مدارس در کشور است.,وزارت آموزش و پرورش
سرانه کتابخانه‌های عمومی,فراهم بودن زیرساخت‌های مطالعه در این بخش بر مبنای توزیع عادلانه فضاهای آموزشی و پژوهشی به ازای هر صد هزار نفر از جمعیت سنجیده می‌شود. این نسبت مشخص می‌کند که شهروندان در مناطق مختلف چقدر به مخازن کتاب و فضاهای قرائت‌خانه دسترسی دارند. بررسی تغییرات این عدد، تصویری از پویایی علمی و میزان سرمایه‌گذاری در توسعه دانایی جامعه را ارائه می‌دهد.,وزارت فرهنگ و ارشاد اسلامی
نسبت کلاس‌های چندپایه,بررسی میزان ادغام دوره‌های مختلف تحصیلی از طریق تقسیم تعداد کلاس‌های چندپایه بر کل کلاس‌های دایر، مبنای این شاخص است. رواج این مدل آموزشی، عمدتاً بازتاب‌دهنده کمبود فضای کالبدی یا به حد نصاب نرسیدن دانش‌آموزان در مناطق کم‌جمعیت است. این معیار به برنامه‌ریزان کمک می‌کند تا کیفیت آموزش و چالش‌های تدریس را در این کلاس‌ها ارزیابی کنند.,وزارت آموزش و پرورش
سرانه تخت بیمارستانی,شاخص «سرانه تخت بیمارستانی» بیانگر تعداد تخت‌های بیمارستانی در دسترس هر 10000 نفر جمعیت است. این شاخص نقش کلیدی در ارزیابی ظرفیت نظام سلامت و آمادگی سیستم درمانی برای پاسخ به نیازهای بهداشتی جامعه دارد. سرانه بالاتر تخت بستری معمولاً نشان‌دهنده دسترسی بهتر به خدمات درمانی، کاهش فشار بر مراکز درمانی و ارتقای کیفیت مراقبت‌های پزشکی برای جمعیت است.,وزارت بهداشت، درمان و آموزش پزشکی
سرانه تعداد بیمارستان,توزیع مراکز درمانی بستری در این بخش، بر مبنای تعداد بیمارستان‌های موجود به ازای هر صد هزار نفر جمعیت سنجیده می‌شود. این آمار به زبان ساده نشان می‌دهد که شهروندان در مناطق مختلف چقدر به تخت‌ها و خدمات تخصصی بیمارستانی دسترسی دارند. بررسی این نسبت، بازتاب‌دهنده عدالت جغرافیایی در توسعه زیرساخت‌های حیاتی سلامت است.,وزارت بهداشت، درمان و آموزش پزشکی
سرانه تعداد پایگاه‌های اورژانس,دسترس‌پذیری خدمات فوریت‌های پزشکی با محاسبه تعداد پایگاه‌های فعال به ازای هر صد هزار نفر از شهروندان سنجیده می‌شود. این آمار گویای سرعت پاسخگویی نظام سلامت به حوادث و وضعیت‌های اضطراری است. بالا بودن این نسبت، شانس نجات جان بیماران را افزایش داده و نشان‌دهنده ارتقای زیرساخت‌های حیاتی در لایه‌های مختلف جامعه است.,وزارت بهداشت، درمان و آموزش پزشکی
سرانه تعداد پزشک,شاخص «نسبت پزشک به جمعیت» نشان می‌دهد به ازای هر تعداد مشخص (10000 نفر) از جمعیت، چه تعداد پزشک در دسترس قرار دارد. این شاخص بیانگر میزان دسترسی جامعه به خدمات درمانی و ظرفیت نظام سلامت در پاسخ‌گویی به نیازهای بهداشتی افراد است. هرچه این نسبت بالاتر باشد، امکان دریافت خدمات پزشکی سریع‌تر و عادلانه‌تر فراهم می‌شود و سطح دسترسی به مراقبت‌های سلامت در جامعه بهبود می‌یابد.,سازمان نظام پزشکی
سرانه تعداد داروخانه,توزیع جغرافیایی مراکز عرضه دارو در این شاخص بر اساس نسبت وجود این واحدهای درمانی به ازای هر صد هزار نفر جمعیت سنجیده می‌شود. این معیار به زبان ساده نشان می‌دهد که شهروندان در مواجهه با بیماری چقدر سریع و آسان به اقلام دارویی دسترسی دارند. تعادل این عدد در سطح کشور، یکی از پایه‌های اصلی رفاه و عدالت در سلامت است.,وزارت بهداشت، درمان و آموزش پزشکی
میزان تورم آموزش,سنجش نوسانات قیمتی در هزینه خدمات آموزشی، شهریه مدارس و اقلام وابسته در مناطق شهری، هسته اصلی این شاخص اقتصادی است. این نرخ نشان می‌دهد که مخارج تحصیلی فرزندان با چه سرعتی در حال رشد است. بالا رفتن این عدد فشار مستقیمی به سبد معیشت خانواده‌های شهری وارد کرده و تأمین هزینه‌های تحصیلی را دشوارتر می‌کند.,مرکز آمار
میانگین سال‌های تحصیل,سنجش طول دوران آموزش در این بخش، با تمرکز ویژه روی یک نسل مشخص از جمعیت در یک مقطع زمانی معین انجام می‌شود. این رویکرد نسلی آشکار می‌سازد که گروه هدف در طول دوران رشد خود چقدر از فرصت‌های آموزش عالی و عمومی بهره‌مند شده‌اند و سرمایه انسانی جامعه در آن لایه جمعیتی چقدر ارتقا یافته است.,مرکز آمار
نرخ بازماندگی از تحصیل ابتدایی,تمرکز این سنجش بر شناسایی گروهی از کودکان است که با وجود رسیدن به سن قانونی، به چرخه آموزش ابتدایی وارد نشده یا به هر دلیلی آن را نیمه‌کاره رها کرده‌اند. این معیار یک زنگ خطر اجتماعی است که ریشه در چالش‌های معیشتی و جغرافیایی دارد. بررسی این عدد امکان مداخله دقیق‌تر برای پیشگیری از آسیب‌های اجتماعی آتی را فراهم می‌سازد.,مرکز آمار
نرخ پوشش تحصیلی ابتدایی,پذیرش و حضور حداکثری کودکان واجد شرایط در پایه اول تا ششم ابتدایی، مبنای اصلی محاسبات این شاخص است. این رقم نشان می‌دهد که ساختار آموزشی کشور تا چه حد توانسته بستر تحصیل رایگان و همگانی را برای نسل جدید فراهم کند. بالا بودن این درصد، گویای برقراری عدالت آموزشی و کاهش موانع ساختاری و اجتماعی در مسیر ورود به مدرسه است.,مرکز آمار
بعد خانوار روستایی,میانگین تعداد اعضای هر خانوار، مبنای تعیین بعد خانوار است و همه افرادی را شامل می‌شود که در یک واحد مسکونی زندگی می‌کنند؛ از والدین و فرزندان تا سایر افراد وابسته. اهمیت این شاخص در تحلیل ساختار خانواده و روندهای جمعیتی است، زیرا تغییرات در اندازه خانوار می‌تواند نشان‌دهنده الگوهای باروری، سبک زندگی و نیازهای اقتصادی و اجتماعی خانواده‌ها باشد.,مرکز آمار
بعد خانوار شهری,میانگین تعداد اعضای هر خانوار، مبنای تعیین بعد خانوار است و همه افرادی را شامل می‌شود که در یک واحد مسکونی زندگی می‌کنند؛ از والدین و فرزندان تا سایر افراد وابسته. اهمیت این شاخص در تحلیل ساختار خانواده و روندهای جمعیتی است، زیرا تغییرات در اندازه خانوار می‌تواند نشان‌دهنده الگوهای باروری، سبک زندگی و نیازهای اقتصادی و اجتماعی خانواده‌ها باشد.,مرکز آمار
