subtopic_name,topic_name,province_name,subtopic_score
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,آذربایجان غربی,32.002472
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,آذربایجان غربی,13.013983
تعلق ملی,همبستگی و سرمایه اجتماعی,آذربایجان غربی,1.8480642
عدالت آموزشی,دانش و سرمایه انسانی,آذربایجان غربی,8.5241976
فراگیری آموزش,دانش و سرمایه انسانی,آذربایجان غربی,6.8493271
کیفیت آموزشی,دانش و سرمایه انسانی,آذربایجان غربی,39.121128
الگوی مصرف,معیشت و فرهنگ اقتصادی,آذربایجان غربی,2.5067596
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,آذربایجان غربی,28.149521
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,آذربایجان غربی,14.467897
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,آذربایجان غربی,9.5473204
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,آذربایجان غربی,2.0652232
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,آذربایجان غربی,16.208651
حمایت اجتماعی,رفاه و عدالت اجتماعی,آذربایجان غربی,31.466785
زیرساخت آموزشی,رفاه و عدالت اجتماعی,آذربایجان غربی,3.4286211
سلامت و بهداشت,رفاه و عدالت اجتماعی,آذربایجان غربی,15.237468
مسکن و سرپناه,رفاه و عدالت اجتماعی,آذربایجان غربی,3.7617102
جرم و ناامنی,مسائل اجتماعی,آذربایجان غربی,43.356377
سلامت اجتماعی,مسائل اجتماعی,آذربایجان غربی,3.5372832
سبک زندگی و مصرف,مسائل اجتماعی,آذربایجان غربی,47.39444
باورها و رفتارهای فرهنگی,مسائل اجتماعی,آذربایجان غربی,4.7976365
روابط و امنیت اجتماعی,مسائل اجتماعی,آذربایجان غربی,41.038158
باور دینی,معنویت و ارزش‌های دینی,اردبیل,11.724798
عمل دینی,معنویت و ارزش‌های دینی,اردبیل,32.906456
هویت و پیوند دینی,معنویت و ارزش‌های دینی,اردبیل,11.262846
مشارکت مذهبی,معنویت و ارزش‌های دینی,اردبیل,11.925035
سبک زندگی دینی,معنویت و ارزش‌های دینی,اردبیل,21.911482
تشکیل خانواده,زندگی خانوادگی,اردبیل,47.962803
فرزندآوری,زندگی خانوادگی,اردبیل,28.104851
روابط خانوادگی,زندگی خانوادگی,اردبیل,25.673178
پایداری خانواده,زندگی خانوادگی,اردبیل,2.2441614
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,اردبیل,13.903871
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,اردبیل,2.173476
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,اردبیل,4.6944499
مد و فراغت,مصرف فرهنگی و رسانه‌ای,اردبیل,8.4894772
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,اردبیل,3.2736502
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,اردبیل,2.454901
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,اردبیل,26.589794
تعلق ملی,همبستگی و سرمایه اجتماعی,اردبیل,6.1249208
عدالت آموزشی,دانش و سرمایه انسانی,اردبیل,12.971962
فراگیری آموزش,دانش و سرمایه انسانی,اردبیل,5.5555553
کیفیت آموزشی,دانش و سرمایه انسانی,اردبیل,7.710732
الگوی مصرف,معیشت و فرهنگ اقتصادی,اردبیل,5.5935254
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,اردبیل,27.366554
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,اردبیل,2.0144796
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,اردبیل,50.157948
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,اردبیل,28.902689
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,اردبیل,3.5084364
حمایت اجتماعی,رفاه و عدالت اجتماعی,اردبیل,20.372162
زیرساخت آموزشی,رفاه و عدالت اجتماعی,اردبیل,23.551723
سلامت و بهداشت,رفاه و عدالت اجتماعی,اردبیل,49.498833
مسکن و سرپناه,رفاه و عدالت اجتماعی,اردبیل,25.758377
جرم و ناامنی,مسائل اجتماعی,اردبیل,49.827621
سلامت اجتماعی,مسائل اجتماعی,اردبیل,1.8889635
سبک زندگی و مصرف,مسائل اجتماعی,اردبیل,29.015572
باورها و رفتارهای فرهنگی,مسائل اجتماعی,اردبیل,28.757208
روابط و امنیت اجتماعی,مسائل اجتماعی,اردبیل,19.705938
باور دینی,معنویت و ارزش‌های دینی,اصفهان,27.262156
عمل دینی,معنویت و ارزش‌های دینی,اصفهان,18.104347
هویت و پیوند دینی,معنویت و ارزش‌های دینی,اصفهان,9.9960146
مشارکت مذهبی,معنویت و ارزش‌های دینی,اصفهان,13.574018
سبک زندگی دینی,معنویت و ارزش‌های دینی,اصفهان,2.7329226
تشکیل خانواده,زندگی خانوادگی,اصفهان,9.537837
فرزندآوری,زندگی خانوادگی,اصفهان,10.251514
روابط خانوادگی,زندگی خانوادگی,اصفهان,15.072517
پایداری خانواده,زندگی خانوادگی,اصفهان,.41441613
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,اصفهان,3.7498548
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,اصفهان,8.230958
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,اصفهان,38.522644
مد و فراغت,مصرف فرهنگی و رسانه‌ای,اصفهان,18.347891
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,اصفهان,54.636639
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,اصفهان,10.144692
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,اصفهان,37.115582
تعلق ملی,همبستگی و سرمایه اجتماعی,اصفهان,14.814042
عدالت آموزشی,دانش و سرمایه انسانی,اصفهان,60.575321
فراگیری آموزش,دانش و سرمایه انسانی,اصفهان,36.261177
کیفیت آموزشی,دانش و سرمایه انسانی,اصفهان,5.1473017
الگوی مصرف,معیشت و فرهنگ اقتصادی,اصفهان,14.767607
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,اصفهان,7.3441668
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,اصفهان,3.6594419
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,اصفهان,8.91644
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,اصفهان,49.433071
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,اصفهان,22.084202
حمایت اجتماعی,رفاه و عدالت اجتماعی,اصفهان,10.23362
زیرساخت آموزشی,رفاه و عدالت اجتماعی,اصفهان,22.709024
سلامت و بهداشت,رفاه و عدالت اجتماعی,اصفهان,23.277201
مسکن و سرپناه,رفاه و عدالت اجتماعی,اصفهان,41.704281
جرم و ناامنی,مسائل اجتماعی,اصفهان,13.294049
سلامت اجتماعی,مسائل اجتماعی,اصفهان,.8483395
سبک زندگی و مصرف,مسائل اجتماعی,اصفهان,35.972
باورها و رفتارهای فرهنگی,مسائل اجتماعی,اصفهان,43.020489
روابط و امنیت اجتماعی,مسائل اجتماعی,اصفهان,39.18108
باور دینی,معنویت و ارزش‌های دینی,البرز,13.472334
عمل دینی,معنویت و ارزش‌های دینی,البرز,3.1689641
هویت و پیوند دینی,معنویت و ارزش‌های دینی,البرز,.31029642
مشارکت مذهبی,معنویت و ارزش‌های دینی,البرز,9.7293005
سبک زندگی دینی,معنویت و ارزش‌های دینی,البرز,3.1886649
تشکیل خانواده,زندگی خانوادگی,البرز,4.9232063
فرزندآوری,زندگی خانوادگی,البرز,4.569725
روابط خانوادگی,زندگی خانوادگی,البرز,13.956985
پایداری خانواده,زندگی خانوادگی,البرز,25.363892
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,البرز,17.624186
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,البرز,34.791355
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,البرز,8.3186941
مد و فراغت,مصرف فرهنگی و رسانه‌ای,البرز,17.628023
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,البرز,16.165916
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,البرز,6.264513
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,البرز,1.1957741
تعلق ملی,همبستگی و سرمایه اجتماعی,البرز,18.423584
عدالت آموزشی,دانش و سرمایه انسانی,البرز,8.5770426
فراگیری آموزش,دانش و سرمایه انسانی,البرز,34.340553
کیفیت آموزشی,دانش و سرمایه انسانی,البرز,13.589862
الگوی مصرف,معیشت و فرهنگ اقتصادی,البرز,29.528177
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,البرز,2.7408104
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,البرز,6.3745823
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,البرز,39.877956
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,البرز,10.744204
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,البرز,47.745251
حمایت اجتماعی,رفاه و عدالت اجتماعی,البرز,2.1134923
زیرساخت آموزشی,رفاه و عدالت اجتماعی,البرز,1.1768802
سلامت و بهداشت,رفاه و عدالت اجتماعی,البرز,1.8188108
مسکن و سرپناه,رفاه و عدالت اجتماعی,البرز,42.017113
جرم و ناامنی,مسائل اجتماعی,البرز,26.561508
سلامت اجتماعی,مسائل اجتماعی,البرز,5.3410516
سبک زندگی و مصرف,مسائل اجتماعی,البرز,6.7143784
باورها و رفتارهای فرهنگی,مسائل اجتماعی,البرز,21.938999
روابط و امنیت اجتماعی,مسائل اجتماعی,البرز,.88464457
باور دینی,معنویت و ارزش‌های دینی,ایلام,8.3129768
عمل دینی,معنویت و ارزش‌های دینی,ایلام,6.3940129
هویت و پیوند دینی,معنویت و ارزش‌های دینی,ایلام,2.0340943
مشارکت مذهبی,معنویت و ارزش‌های دینی,ایلام,13.875755
سبک زندگی دینی,معنویت و ارزش‌های دینی,ایلام,.54591316
تشکیل خانواده,زندگی خانوادگی,ایلام,9.9662323
فرزندآوری,زندگی خانوادگی,ایلام,9.1513033
روابط خانوادگی,زندگی خانوادگی,ایلام,13.175426
پایداری خانواده,زندگی خانوادگی,ایلام,10.392872
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,ایلام,12.47576
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,ایلام,2.2516
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,ایلام,14.78356
مد و فراغت,مصرف فرهنگی و رسانه‌ای,ایلام,11.352152
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,ایلام,32.284306
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,ایلام,2.7896059
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,ایلام,36.046337
تعلق ملی,همبستگی و سرمایه اجتماعی,ایلام,3.8484306
عدالت آموزشی,دانش و سرمایه انسانی,ایلام,5.7723188
فراگیری آموزش,دانش و سرمایه انسانی,ایلام,22.743938
کیفیت آموزشی,دانش و سرمایه انسانی,ایلام,30.826929
الگوی مصرف,معیشت و فرهنگ اقتصادی,ایلام,1.6571438
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,ایلام,5.6155663
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,ایلام,27.42539
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,ایلام,1.9980845
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,ایلام,9.850565
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,ایلام,41.161716
حمایت اجتماعی,رفاه و عدالت اجتماعی,ایلام,47.972904
زیرساخت آموزشی,رفاه و عدالت اجتماعی,ایلام,52.443962
سلامت و بهداشت,رفاه و عدالت اجتماعی,ایلام,9.6757994
مسکن و سرپناه,رفاه و عدالت اجتماعی,ایلام,2.4047875
جرم و ناامنی,مسائل اجتماعی,ایلام,5.9835873
سلامت اجتماعی,مسائل اجتماعی,ایلام,7.2883339
سبک زندگی و مصرف,مسائل اجتماعی,ایلام,2.8214076
باورها و رفتارهای فرهنگی,مسائل اجتماعی,ایلام,1.41942
روابط و امنیت اجتماعی,مسائل اجتماعی,ایلام,25.731781
باور دینی,معنویت و ارزش‌های دینی,بوشهر,13.755805
عمل دینی,معنویت و ارزش‌های دینی,بوشهر,3.9875169
هویت و پیوند دینی,معنویت و ارزش‌های دینی,بوشهر,32.145283
مشارکت مذهبی,معنویت و ارزش‌های دینی,بوشهر,15.189788
سبک زندگی دینی,معنویت و ارزش‌های دینی,بوشهر,.53332245
تشکیل خانواده,زندگی خانوادگی,بوشهر,1.6383443
فرزندآوری,زندگی خانوادگی,بوشهر,27.935595
روابط خانوادگی,زندگی خانوادگی,بوشهر,9.3241034
پایداری خانواده,زندگی خانوادگی,بوشهر,13.636613
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,بوشهر,2.7898448
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,بوشهر,17.948252
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,بوشهر,11.704732
مد و فراغت,مصرف فرهنگی و رسانه‌ای,بوشهر,47.837906
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,بوشهر,12.276817
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,بوشهر,3.6925962
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,بوشهر,23.035727
تعلق ملی,همبستگی و سرمایه اجتماعی,بوشهر,13.713302
عدالت آموزشی,دانش و سرمایه انسانی,بوشهر,63.212593
فراگیری آموزش,دانش و سرمایه انسانی,بوشهر,2.0029583
کیفیت آموزشی,دانش و سرمایه انسانی,بوشهر,4.3697734
الگوی مصرف,معیشت و فرهنگ اقتصادی,بوشهر,31.846741
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,بوشهر,16.912857
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,بوشهر,37.996876
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,بوشهر,19.239573
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,بوشهر,48.931156
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,بوشهر,4.8951168
حمایت اجتماعی,رفاه و عدالت اجتماعی,بوشهر,12.543312
زیرساخت آموزشی,رفاه و عدالت اجتماعی,بوشهر,26.472742
سلامت و بهداشت,رفاه و عدالت اجتماعی,بوشهر,10.639251
مسکن و سرپناه,رفاه و عدالت اجتماعی,بوشهر,34.764542
جرم و ناامنی,مسائل اجتماعی,بوشهر,48.444031
سلامت اجتماعی,مسائل اجتماعی,بوشهر,16.923199
سبک زندگی و مصرف,مسائل اجتماعی,بوشهر,2.6152582
باورها و رفتارهای فرهنگی,مسائل اجتماعی,بوشهر,13.677597
روابط و امنیت اجتماعی,مسائل اجتماعی,بوشهر,5.5196609
باور دینی,معنویت و ارزش‌های دینی,تهران,1.8134155
عمل دینی,معنویت و ارزش‌های دینی,تهران,10.334689
هویت و پیوند دینی,معنویت و ارزش‌های دینی,تهران,1.2658876
مشارکت مذهبی,معنویت و ارزش‌های دینی,تهران,18.221813
سبک زندگی دینی,معنویت و ارزش‌های دینی,تهران,10.14251
تشکیل خانواده,زندگی خانوادگی,تهران,5.0655556
فرزندآوری,زندگی خانوادگی,تهران,4.3329268
روابط خانوادگی,زندگی خانوادگی,تهران,7.4230819
پایداری خانواده,زندگی خانوادگی,تهران,.6183086
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,تهران,55.915192
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,تهران,39.005177
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,تهران,45.082329
مد و فراغت,مصرف فرهنگی و رسانه‌ای,تهران,45.987103
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,تهران,10.522963
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,تهران,7.810771
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,تهران,16.452179
تعلق ملی,همبستگی و سرمایه اجتماعی,تهران,9.2575388
عدالت آموزشی,دانش و سرمایه انسانی,تهران,41.730972
فراگیری آموزش,دانش و سرمایه انسانی,تهران,5.314744
کیفیت آموزشی,دانش و سرمایه انسانی,تهران,3.4188299
الگوی مصرف,معیشت و فرهنگ اقتصادی,تهران,14.038071
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,تهران,30.742336
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,تهران,9.5742397
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,تهران,25.230318
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,تهران,3.9011748
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,تهران,63.673096
حمایت اجتماعی,رفاه و عدالت اجتماعی,تهران,18.319897
زیرساخت آموزشی,رفاه و عدالت اجتماعی,تهران,2.9543128
سلامت و بهداشت,رفاه و عدالت اجتماعی,تهران,28.056103
مسکن و سرپناه,رفاه و عدالت اجتماعی,تهران,.86743361
جرم و ناامنی,مسائل اجتماعی,تهران,2.6913278
سلامت اجتماعی,مسائل اجتماعی,تهران,19.179991
سبک زندگی و مصرف,مسائل اجتماعی,تهران,25.15382
باورها و رفتارهای فرهنگی,مسائل اجتماعی,تهران,43.693382
روابط و امنیت اجتماعی,مسائل اجتماعی,تهران,6.9795322
باور دینی,معنویت و ارزش‌های دینی,خراسان جنوبی,71.735413
عمل دینی,معنویت و ارزش‌های دینی,خراسان جنوبی,60.850842
هویت و پیوند دینی,معنویت و ارزش‌های دینی,خراسان جنوبی,9.7398214
مشارکت مذهبی,معنویت و ارزش‌های دینی,خراسان جنوبی,29.998474
سبک زندگی دینی,معنویت و ارزش‌های دینی,خراسان جنوبی,57.100952
تشکیل خانواده,زندگی خانوادگی,خراسان جنوبی,36.245949
فرزندآوری,زندگی خانوادگی,خراسان جنوبی,20.663136
روابط خانوادگی,زندگی خانوادگی,خراسان جنوبی,46.789173
پایداری خانواده,زندگی خانوادگی,خراسان جنوبی,50.53043
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,خراسان جنوبی,30.008135
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,خراسان جنوبی,10.491506
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,خراسان جنوبی,.029914351
مد و فراغت,مصرف فرهنگی و رسانه‌ای,خراسان جنوبی,2.8234508
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,خراسان جنوبی,51.071735
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,خراسان جنوبی,24.663715
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,خراسان جنوبی,16.224451
تعلق ملی,همبستگی و سرمایه اجتماعی,خراسان جنوبی,6.0378928
عدالت آموزشی,دانش و سرمایه انسانی,خراسان جنوبی,5.6951661
فراگیری آموزش,دانش و سرمایه انسانی,خراسان جنوبی,8.2660313
کیفیت آموزشی,دانش و سرمایه انسانی,خراسان جنوبی,16.658375
الگوی مصرف,معیشت و فرهنگ اقتصادی,خراسان جنوبی,1.8414026
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,خراسان جنوبی,40.370312
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,خراسان جنوبی,41.45211
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,خراسان جنوبی,25.586161
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,خراسان جنوبی,25.597691
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,خراسان جنوبی,18.152008
حمایت اجتماعی,رفاه و عدالت اجتماعی,خراسان جنوبی,35.288239
زیرساخت آموزشی,رفاه و عدالت اجتماعی,خراسان جنوبی,.51254022
سلامت و بهداشت,رفاه و عدالت اجتماعی,خراسان جنوبی,57.648479
مسکن و سرپناه,رفاه و عدالت اجتماعی,خراسان جنوبی,44.723713
جرم و ناامنی,مسائل اجتماعی,خراسان جنوبی,2.3327329
سلامت اجتماعی,مسائل اجتماعی,خراسان جنوبی,19.4091
سبک زندگی و مصرف,مسائل اجتماعی,خراسان جنوبی,44.132355
باورها و رفتارهای فرهنگی,مسائل اجتماعی,خراسان جنوبی,8.5237875
روابط و امنیت اجتماعی,مسائل اجتماعی,خراسان جنوبی,31.63522
باور دینی,معنویت و ارزش‌های دینی,خراسان رضوی,19.232243
عمل دینی,معنویت و ارزش‌های دینی,خراسان رضوی,4.9372706
هویت و پیوند دینی,معنویت و ارزش‌های دینی,خراسان رضوی,56.459633
مشارکت مذهبی,معنویت و ارزش‌های دینی,خراسان رضوی,66.037758
سبک زندگی دینی,معنویت و ارزش‌های دینی,خراسان رضوی,10.055169
تشکیل خانواده,زندگی خانوادگی,خراسان رضوی,1.3630325
فرزندآوری,زندگی خانوادگی,خراسان رضوی,47.79533
روابط خانوادگی,زندگی خانوادگی,خراسان رضوی,1.5780325
پایداری خانواده,زندگی خانوادگی,خراسان رضوی,22.940456
سینما و تلویزیون,مصرف فرهنگی و رسانه‌ای,خراسان رضوی,40.586922
کتاب و مطبوعات,مصرف فرهنگی و رسانه‌ای,خراسان رضوی,15.628175
موسیقی و هنرهای تجسمی,مصرف فرهنگی و رسانه‌ای,خراسان رضوی,19.693701
مد و فراغت,مصرف فرهنگی و رسانه‌ای,خراسان رضوی,22.278221
اعتماد و روابط اجتماعی,همبستگی و سرمایه اجتماعی,خراسان رضوی,7.5385332
هنجارها و سلامت نهادی,همبستگی و سرمایه اجتماعی,خراسان رضوی,11.223645
مشارکت و کنش جمعی,همبستگی و سرمایه اجتماعی,خراسان رضوی,6.323945
تعلق ملی,همبستگی و سرمایه اجتماعی,خراسان رضوی,54.20364
عدالت آموزشی,دانش و سرمایه انسانی,خراسان رضوی,16.318584
فراگیری آموزش,دانش و سرمایه انسانی,خراسان رضوی,9.056428
کیفیت آموزشی,دانش و سرمایه انسانی,خراسان رضوی,4.736011
الگوی مصرف,معیشت و فرهنگ اقتصادی,خراسان رضوی,1.6580807
بازار کار و اشتغال,معیشت و فرهنگ اقتصادی,خراسان رضوی,36.218472
فرهنگ اقتصادی,معیشت و فرهنگ اقتصادی,خراسان رضوی,20.70377
قدرت خرید و معیشت,معیشت و فرهنگ اقتصادی,خراسان رضوی,26.900406
برخورداری اقتصادی,معیشت و فرهنگ اقتصادی,خراسان رضوی,9.6306982
انرژی و خدمات عمومی,رفاه و عدالت اجتماعی,خراسان رضوی,17.003326
حمایت اجتماعی,رفاه و عدالت اجتماعی,خراسان رضوی,2.3736253
زیرساخت آموزشی,رفاه و عدالت اجتماعی,خراسان رضوی,24.19882
سلامت و بهداشت,رفاه و عدالت اجتماعی,خراسان رضوی,5.6761789
مسکن و سرپناه,رفاه و عدالت اجتماعی,خراسان رضوی,.34551388
جرم و ناامنی,مسائل اجتماعی,خراسان رضوی,8.5499001
سلامت اجتماعی,مسائل اجتماعی,خراسان رضوی,57.054554
سبک زندگی و مصرف,مسائل اجتماعی,خراسان رضوی,20.959877
باورها و رفتارهای فرهنگی,مسائل اجتماعی,خراسان رضوی,29.905369
روابط و امنیت اجتماعی,مسائل اجتماعی,خراسان رضوی,23.830923
باور دینی,معنویت و ارزش‌های دینی,خراسان شمالی,1.0173266
عمل دینی,معنویت و ارزش‌های دینی,خراسان شمالی,31.725611
هویت و پیوند دینی,معنویت و ارزش‌های دینی,خراسان شمالی,17.780991
مشارکت مذهبی,معنویت و ارزش‌های دینی,خراسان شمالی,49.868225
