province_name,topic_name,subtopic_name,cluster_group,subtopic_score
آذربایجان شرقی,مسائل اجتماعی,روابط و امنیت اجتماعی,1,24.766703
آذربایجان غربی,معنویت و ارزش‌های دینی,باور دینی,1,36.306591
آذربایجان غربی,معنویت و ارزش‌های دینی,عمل دینی,1,12.492937
آذربایجان غربی,معنویت و ارزش‌های دینی,هویت و پیوند دینی,1,12.236254
آذربایجان غربی,معنویت و ارزش‌های دینی,مشارکت مذهبی,1,3.8011317
آذربایجان غربی,معنویت و ارزش‌های دینی,سبک زندگی دینی,1,10.164898
آذربایجان غربی,زندگی خانوادگی,تشکیل خانواده,3,54.100731
آذربایجان غربی,زندگی خانوادگی,فرزندآوری,3,39.430176
آذربایجان غربی,زندگی خانوادگی,روابط خانوادگی,3,45.37661
آذربایجان غربی,زندگی خانوادگی,پایداری خانواده,3,29.513836
آذربایجان غربی,مصرف فرهنگی و رسانه‌ای,سینما و تلویزیون,1,.55628932
آذربایجان غربی,مصرف فرهنگی و رسانه‌ای,کتاب و مطبوعات,1,2.6417603
آذربایجان غربی,مصرف فرهنگی و رسانه‌ای,موسیقی و هنرهای تجسمی,1,37.905613
آذربایجان غربی,مصرف فرهنگی و رسانه‌ای,مد و فراغت,1,11.246806
آذربایجان غربی,همبستگی و سرمایه اجتماعی,اعتماد و روابط اجتماعی,2,18.286707
آذربایجان غربی,همبستگی و سرمایه اجتماعی,هنجارها و سلامت نهادی,2,40.979591
آذربایجان غربی,همبستگی و سرمایه اجتماعی,مشارکت و کنش جمعی,2,7.3998146
آذربایجان غربی,همبستگی و سرمایه اجتماعی,تعلق ملی,2,5.0739141
آذربایجان غربی,دانش و سرمایه انسانی,عدالت آموزشی,4,25.527546
آذربایجان غربی,دانش و سرمایه انسانی,فراگیری آموزش,4,10.414985
آذربایجان غربی,دانش و سرمایه انسانی,کیفیت آموزشی,4,45.880749
آذربایجان غربی,معیشت و فرهنگ اقتصادی,الگوی مصرف,1,9.1684017
آذربایجان غربی,معیشت و فرهنگ اقتصادی,بازار کار و اشتغال,1,49.335823
آذربایجان غربی,معیشت و فرهنگ اقتصادی,فرهنگ اقتصادی,1,4.862071
آذربایجان غربی,معیشت و فرهنگ اقتصادی,قدرت خرید و معیشت,1,12.917548
آذربایجان غربی,معیشت و فرهنگ اقتصادی,برخورداری اقتصادی,1,53.133209
آذربایجان غربی,رفاه و عدالت اجتماعی,انرژی و خدمات عمومی,5,17.646751
آذربایجان غربی,رفاه و عدالت اجتماعی,حمایت اجتماعی,5,9.0453987
آذربایجان غربی,رفاه و عدالت اجتماعی,زیرساخت آموزشی,5,14.79589
آذربایجان غربی,رفاه و عدالت اجتماعی,سلامت و بهداشت,5,6.5905333
آذربایجان غربی,رفاه و عدالت اجتماعی,مسکن و سرپناه,5,8.0144825
آذربایجان غربی,مسائل اجتماعی,جرم و ناامنی,1,40.712547
آذربایجان غربی,مسائل اجتماعی,سلامت اجتماعی,1,16.847303
آذربایجان غربی,مسائل اجتماعی,سبک زندگی و مصرف,1,16.823118
آذربایجان غربی,مسائل اجتماعی,باورها و رفتارهای فرهنگی,1,2.3166833
آذربایجان غربی,مسائل اجتماعی,روابط و امنیت اجتماعی,1,51.947109
اردبیل,معنویت و ارزش‌های دینی,باور دینی,1,10.696352
اردبیل,معنویت و ارزش‌های دینی,عمل دینی,1,18.903606
اردبیل,معنویت و ارزش‌های دینی,هویت و پیوند دینی,1,10.110471
اردبیل,معنویت و ارزش‌های دینی,مشارکت مذهبی,1,11.470768
اردبیل,معنویت و ارزش‌های دینی,سبک زندگی دینی,1,41.341904
اردبیل,زندگی خانوادگی,تشکیل خانواده,4,59.200588
اردبیل,زندگی خانوادگی,فرزندآوری,4,8.6632471
اردبیل,زندگی خانوادگی,روابط خانوادگی,4,42.836445
اردبیل,زندگی خانوادگی,پایداری خانواده,4,8.4435596
اردبیل,مصرف فرهنگی و رسانه‌ای,سینما و تلویزیون,4,13.480319
اردبیل,مصرف فرهنگی و رسانه‌ای,کتاب و مطبوعات,4,50.843792
اردبیل,مصرف فرهنگی و رسانه‌ای,موسیقی و هنرهای تجسمی,4,14.500447
اردبیل,مصرف فرهنگی و رسانه‌ای,مد و فراغت,4,3.8021805
اردبیل,همبستگی و سرمایه اجتماعی,اعتماد و روابط اجتماعی,3,1.1285818
اردبیل,همبستگی و سرمایه اجتماعی,هنجارها و سلامت نهادی,3,7.19941
اردبیل,همبستگی و سرمایه اجتماعی,مشارکت و کنش جمعی,3,52.809334
اردبیل,همبستگی و سرمایه اجتماعی,تعلق ملی,3,4.6735978
اردبیل,دانش و سرمایه انسانی,عدالت آموزشی,4,7.8445129
اردبیل,دانش و سرمایه انسانی,فراگیری آموزش,4,12.501488
اردبیل,دانش و سرمایه انسانی,کیفیت آموزشی,4,44.363583
اردبیل,معیشت و فرهنگ اقتصادی,الگوی مصرف,3,34.36174
اردبیل,معیشت و فرهنگ اقتصادی,بازار کار و اشتغال,3,28.260466
اردبیل,معیشت و فرهنگ اقتصادی,فرهنگ اقتصادی,3,7.9752479
اردبیل,معیشت و فرهنگ اقتصادی,قدرت خرید و معیشت,3,14.704773
اردبیل,معیشت و فرهنگ اقتصادی,برخورداری اقتصادی,3,50.690243
اردبیل,رفاه و عدالت اجتماعی,انرژی و خدمات عمومی,1,21.444965
اردبیل,رفاه و عدالت اجتماعی,حمایت اجتماعی,1,2.6671221
اردبیل,رفاه و عدالت اجتماعی,زیرساخت آموزشی,1,8.1795692
اردبیل,رفاه و عدالت اجتماعی,سلامت و بهداشت,1,38.042385
اردبیل,رفاه و عدالت اجتماعی,مسکن و سرپناه,1,46.854805
اردبیل,مسائل اجتماعی,جرم و ناامنی,3,40.20369
اردبیل,مسائل اجتماعی,سلامت اجتماعی,3,5.6586318
اردبیل,مسائل اجتماعی,سبک زندگی و مصرف,3,36.138145
اردبیل,مسائل اجتماعی,باورها و رفتارهای فرهنگی,3,4.6391344
اردبیل,مسائل اجتماعی,روابط و امنیت اجتماعی,3,26.244959
اصفهان,معنویت و ارزش‌های دینی,باور دینی,1,45.848289
اصفهان,معنویت و ارزش‌های دینی,عمل دینی,1,33.011585
اصفهان,معنویت و ارزش‌های دینی,هویت و پیوند دینی,1,18.083363
اصفهان,معنویت و ارزش‌های دینی,مشارکت مذهبی,1,3.4596496
اصفهان,معنویت و ارزش‌های دینی,سبک زندگی دینی,1,4.7472286
اصفهان,زندگی خانوادگی,تشکیل خانواده,7,5.7674494
اصفهان,زندگی خانوادگی,فرزندآوری,7,2.0087283
اصفهان,زندگی خانوادگی,روابط خانوادگی,7,12.533889
اصفهان,زندگی خانوادگی,پایداری خانواده,7,15.873117
اصفهان,مصرف فرهنگی و رسانه‌ای,سینما و تلویزیون,10,7.4845214
اصفهان,مصرف فرهنگی و رسانه‌ای,کتاب و مطبوعات,10,6.9235106
اصفهان,مصرف فرهنگی و رسانه‌ای,موسیقی و هنرهای تجسمی,10,13.495036
اصفهان,مصرف فرهنگی و رسانه‌ای,مد و فراغت,10,57.173866
اصفهان,همبستگی و سرمایه اجتماعی,اعتماد و روابط اجتماعی,5,28.237036
اصفهان,همبستگی و سرمایه اجتماعی,هنجارها و سلامت نهادی,5,10.236552
اصفهان,همبستگی و سرمایه اجتماعی,مشارکت و کنش جمعی,5,30.914711
اصفهان,همبستگی و سرمایه اجتماعی,تعلق ملی,5,10.552876
اصفهان,دانش و سرمایه انسانی,عدالت آموزشی,2,50.292542
اصفهان,دانش و سرمایه انسانی,فراگیری آموزش,2,40.411827
اصفهان,دانش و سرمایه انسانی,کیفیت آموزشی,2,8.0925074
اصفهان,معیشت و فرهنگ اقتصادی,الگوی مصرف,3,30.800825
اصفهان,معیشت و فرهنگ اقتصادی,بازار کار و اشتغال,3,43.740776
اصفهان,معیشت و فرهنگ اقتصادی,فرهنگ اقتصادی,3,2.780488
اصفهان,معیشت و فرهنگ اقتصادی,قدرت خرید و معیشت,3,2.8737569
اصفهان,معیشت و فرهنگ اقتصادی,برخورداری اقتصادی,3,42.525299
اصفهان,رفاه و عدالت اجتماعی,انرژی و خدمات عمومی,1,6.7485189
اصفهان,رفاه و عدالت اجتماعی,حمایت اجتماعی,1,4.8840404
اصفهان,رفاه و عدالت اجتماعی,زیرساخت آموزشی,1,10.009185
اصفهان,رفاه و عدالت اجتماعی,سلامت و بهداشت,1,34.804501
اصفهان,رفاه و عدالت اجتماعی,مسکن و سرپناه,1,48.27779
اصفهان,مسائل اجتماعی,جرم و ناامنی,3,27.226587
اصفهان,مسائل اجتماعی,سلامت اجتماعی,3,.30544135
اصفهان,مسائل اجتماعی,سبک زندگی و مصرف,3,20.785894
اصفهان,مسائل اجتماعی,باورها و رفتارهای فرهنگی,3,68.233223
اصفهان,مسائل اجتماعی,روابط و امنیت اجتماعی,3,30.139521
البرز,معنویت و ارزش‌های دینی,باور دینی,2,1.7753416
البرز,معنویت و ارزش‌های دینی,عمل دینی,2,2.8014984
البرز,معنویت و ارزش‌های دینی,هویت و پیوند دینی,2,3.8742707
البرز,معنویت و ارزش‌های دینی,مشارکت مذهبی,2,5.3977065
البرز,معنویت و ارزش‌های دینی,سبک زندگی دینی,2,.56902868
البرز,زندگی خانوادگی,تشکیل خانواده,7,2.1411476
البرز,زندگی خانوادگی,فرزندآوری,7,12.677243
البرز,زندگی خانوادگی,روابط خانوادگی,7,9.2570047
البرز,زندگی خانوادگی,پایداری خانواده,7,16.25173
البرز,مصرف فرهنگی و رسانه‌ای,سینما و تلویزیون,4,5.0513968
البرز,مصرف فرهنگی و رسانه‌ای,کتاب و مطبوعات,4,33.094311
البرز,مصرف فرهنگی و رسانه‌ای,موسیقی و هنرهای تجسمی,4,7.6856184
البرز,مصرف فرهنگی و رسانه‌ای,مد و فراغت,4,7.9219565
البرز,همبستگی و سرمایه اجتماعی,اعتماد و روابط اجتماعی,7,19.487677
البرز,همبستگی و سرمایه اجتماعی,هنجارها و سلامت نهادی,7,2.5620332
البرز,همبستگی و سرمایه اجتماعی,مشارکت و کنش جمعی,7,4.5341997
البرز,همبستگی و سرمایه اجتماعی,تعلق ملی,7,22.960934
البرز,دانش و سرمایه انسانی,عدالت آموزشی,6,23.530512
البرز,دانش و سرمایه انسانی,فراگیری آموزش,6,21.365919
البرز,دانش و سرمایه انسانی,کیفیت آموزشی,6,17.89921
البرز,معیشت و فرهنگ اقتصادی,الگوی مصرف,4,30.370443
البرز,معیشت و فرهنگ اقتصادی,بازار کار و اشتغال,4,37.331768
البرز,معیشت و فرهنگ اقتصادی,فرهنگ اقتصادی,4,14.00482
البرز,معیشت و فرهنگ اقتصادی,قدرت خرید و معیشت,4,73.207756
البرز,معیشت و فرهنگ اقتصادی,برخورداری اقتصادی,4,15.507899
البرز,رفاه و عدالت اجتماعی,انرژی و خدمات عمومی,11,20.797798
البرز,رفاه و عدالت اجتماعی,حمایت اجتماعی,11,2.3396621
البرز,رفاه و عدالت اجتماعی,زیرساخت آموزشی,11,.61872208
البرز,رفاه و عدالت اجتماعی,سلامت و بهداشت,11,1.6286124
البرز,رفاه و عدالت اجتماعی,مسکن و سرپناه,11,15.924881
البرز,مسائل اجتماعی,جرم و ناامنی,11,3.750766
البرز,مسائل اجتماعی,سلامت اجتماعی,11,3.0788281
البرز,مسائل اجتماعی,سبک زندگی و مصرف,11,5.7051268
البرز,مسائل اجتماعی,باورها و رفتارهای فرهنگی,11,53.664547
البرز,مسائل اجتماعی,روابط و امنیت اجتماعی,11,1.0691736
ایلام,معنویت و ارزش‌های دینی,باور دینی,2,10.104724
ایلام,معنویت و ارزش‌های دینی,عمل دینی,2,7.8691058
ایلام,معنویت و ارزش‌های دینی,هویت و پیوند دینی,2,12.879282
ایلام,معنویت و ارزش‌های دینی,مشارکت مذهبی,2,22.151985
ایلام,معنویت و ارزش‌های دینی,سبک زندگی دینی,2,4.0521421
ایلام,زندگی خانوادگی,تشکیل خانواده,7,6.7385082
ایلام,زندگی خانوادگی,فرزندآوری,7,7.6517582
ایلام,زندگی خانوادگی,روابط خانوادگی,7,2.2510655
ایلام,زندگی خانوادگی,پایداری خانواده,7,10.923008
ایلام,مصرف فرهنگی و رسانه‌ای,سینما و تلویزیون,9,5.9519067
ایلام,مصرف فرهنگی و رسانه‌ای,کتاب و مطبوعات,9,.66176033
ایلام,مصرف فرهنگی و رسانه‌ای,موسیقی و هنرهای تجسمی,9,.33516699
ایلام,مصرف فرهنگی و رسانه‌ای,مد و فراغت,9,2.9178784
ایلام,همبستگی و سرمایه اجتماعی,اعتماد و روابط اجتماعی,5,59.70573
ایلام,همبستگی و سرمایه اجتماعی,هنجارها و سلامت نهادی,5,3.2035847
ایلام,همبستگی و سرمایه اجتماعی,مشارکت و کنش جمعی,5,4.1836843
ایلام,همبستگی و سرمایه اجتماعی,تعلق ملی,5,10.85557
ایلام,دانش و سرمایه انسانی,عدالت آموزشی,4,4.1129346
ایلام,دانش و سرمایه انسانی,فراگیری آموزش,4,30.86368
ایلام,دانش و سرمایه انسانی,کیفیت آموزشی,4,43.414036
ایلام,معیشت و فرهنگ اقتصادی,الگوی مصرف,2,1.3176093
ایلام,معیشت و فرهنگ اقتصادی,بازار کار و اشتغال,2,8.2281685
ایلام,معیشت و فرهنگ اقتصادی,فرهنگ اقتصادی,2,12.251716
ایلام,معیشت و فرهنگ اقتصادی,قدرت خرید و معیشت,2,8.1514463
ایلام,معیشت و فرهنگ اقتصادی,برخورداری اقتصادی,2,3.4850602
ایلام,رفاه و عدالت اجتماعی,انرژی و خدمات عمومی,7,1.3994881
ایلام,رفاه و عدالت اجتماعی,حمایت اجتماعی,7,51.463326
ایلام,رفاه و عدالت اجتماعی,زیرساخت آموزشی,7,41.7477
ایلام,رفاه و عدالت اجتماعی,سلامت و بهداشت,7,24.140675
ایلام,رفاه و عدالت اجتماعی,مسکن و سرپناه,7,51.871906
ایلام,مسائل اجتماعی,جرم و ناامنی,6,26.695398
ایلام,مسائل اجتماعی,سلامت اجتماعی,6,7.9403329
ایلام,مسائل اجتماعی,سبک زندگی و مصرف,6,2.3180883
ایلام,مسائل اجتماعی,باورها و رفتارهای فرهنگی,6,3.5101461
ایلام,مسائل اجتماعی,روابط و امنیت اجتماعی,6,15.150671
بوشهر,معنویت و ارزش‌های دینی,باور دینی,1,15.687883
بوشهر,معنویت و ارزش‌های دینی,عمل دینی,1,13.892531
بوشهر,معنویت و ارزش‌های دینی,هویت و پیوند دینی,1,42.240181
بوشهر,معنویت و ارزش‌های دینی,مشارکت مذهبی,1,9.7278013
بوشهر,معنویت و ارزش‌های دینی,سبک زندگی دینی,1,2.8649821
بوشهر,زندگی خانوادگی,تشکیل خانواده,8,5.2937465
بوشهر,زندگی خانوادگی,فرزندآوری,8,9.5378647
بوشهر,زندگی خانوادگی,روابط خانوادگی,8,12.68589
بوشهر,زندگی خانوادگی,پایداری خانواده,8,41.189018
بوشهر,مصرف فرهنگی و رسانه‌ای,سینما و تلویزیون,5,2.9998806
بوشهر,مصرف فرهنگی و رسانه‌ای,کتاب و مطبوعات,5,9.9618368
بوشهر,مصرف فرهنگی و رسانه‌ای,موسیقی و هنرهای تجسمی,5,1.1704061
بوشهر,مصرف فرهنگی و رسانه‌ای,مد و فراغت,5,30.193542
بوشهر,همبستگی و سرمایه اجتماعی,اعتماد و روابط اجتماعی,3,15.227477
بوشهر,همبستگی و سرمایه اجتماعی,هنجارها و سلامت نهادی,3,12.381133
بوشهر,همبستگی و سرمایه اجتماعی,مشارکت و کنش جمعی,3,7.1641831
بوشهر,همبستگی و سرمایه اجتماعی,تعلق ملی,3,14.935991
بوشهر,دانش و سرمایه انسانی,عدالت آموزشی,2,5.2528543
بوشهر,دانش و سرمایه انسانی,فراگیری آموزش,2,62.762238
بوشهر,دانش و سرمایه انسانی,کیفیت آموزشی,2,6.2002959
بوشهر,معیشت و فرهنگ اقتصادی,الگوی مصرف,3,27.452074
بوشهر,معیشت و فرهنگ اقتصادی,بازار کار و اشتغال,3,21.390949
بوشهر,معیشت و فرهنگ اقتصادی,فرهنگ اقتصادی,3,10.067842
بوشهر,معیشت و فرهنگ اقتصادی,قدرت خرید و معیشت,3,10.608582
بوشهر,معیشت و فرهنگ اقتصادی,برخورداری اقتصادی,3,36.045826
بوشهر,رفاه و عدالت اجتماعی,انرژی و خدمات عمومی,4,.88550293
بوشهر,رفاه و عدالت اجتماعی,حمایت اجتماعی,4,8.0851955
بوشهر,رفاه و عدالت اجتماعی,زیرساخت آموزشی,4,21.652346
بوشهر,رفاه و عدالت اجتماعی,سلامت و بهداشت,4,12.806503
بوشهر,رفاه و عدالت اجتماعی,مسکن و سرپناه,4,.32756096
بوشهر,مسائل اجتماعی,جرم و ناامنی,5,34.214687
بوشهر,مسائل اجتماعی,سلامت اجتماعی,5,22.264835
بوشهر,مسائل اجتماعی,سبک زندگی و مصرف,5,.75275737
بوشهر,مسائل اجتماعی,باورها و رفتارهای فرهنگی,5,15.510653
بوشهر,مسائل اجتماعی,روابط و امنیت اجتماعی,5,1.3207688
تهران,معنویت و ارزش‌های دینی,باور دینی,2,.12599751
تهران,معنویت و ارزش‌های دینی,عمل دینی,2,13.126443
تهران,معنویت و ارزش‌های دینی,هویت و پیوند دینی,2,11.155359
تهران,معنویت و ارزش‌های دینی,مشارکت مذهبی,2,3.3138533
تهران,معنویت و ارزش‌های دینی,سبک زندگی دینی,2,3.303
تهران,زندگی خانوادگی,تشکیل خانواده,7,5.6036963
تهران,زندگی خانوادگی,فرزندآوری,7,1.3523403
تهران,زندگی خانوادگی,روابط خانوادگی,7,9.4412069
تهران,زندگی خانوادگی,پایداری خانواده,7,2.2472529
تهران,مصرف فرهنگی و رسانه‌ای,سینما و تلویزیون,12,56.170048
تهران,مصرف فرهنگی و رسانه‌ای,کتاب و مطبوعات,12,50.353191
تهران,مصرف فرهنگی و رسانه‌ای,موسیقی و هنرهای تجسمی,12,11.677853
تهران,مصرف فرهنگی و رسانه‌ای,مد و فراغت,12,33.75901
تهران,همبستگی و سرمایه اجتماعی,اعتماد و روابط اجتماعی,7,12.106963
تهران,همبستگی و سرمایه اجتماعی,هنجارها و سلامت نهادی,7,3.9200315
تهران,همبستگی و سرمایه اجتماعی,مشارکت و کنش جمعی,7,2.2011831
تهران,همبستگی و سرمایه اجتماعی,تعلق ملی,7,3.2212539
تهران,دانش و سرمایه انسانی,عدالت آموزشی,3,13.705251
تهران,دانش و سرمایه انسانی,فراگیری آموزش,3,20.312056
تهران,دانش و سرمایه انسانی,کیفیت آموزشی,3,8.6259842
تهران,معیشت و فرهنگ اقتصادی,الگوی مصرف,5,17.568697
تهران,معیشت و فرهنگ اقتصادی,بازار کار و اشتغال,5,20.267115
تهران,معیشت و فرهنگ اقتصادی,فرهنگ اقتصادی,5,10.559399
تهران,معیشت و فرهنگ اقتصادی,قدرت خرید و معیشت,5,8.3718834
تهران,معیشت و فرهنگ اقتصادی,برخورداری اقتصادی,5,2.2768824
تهران,رفاه و عدالت اجتماعی,انرژی و خدمات عمومی,12,27.609674
تهران,رفاه و عدالت اجتماعی,حمایت اجتماعی,12,15.863665
تهران,رفاه و عدالت اجتماعی,زیرساخت آموزشی,12,3.4122288
تهران,رفاه و عدالت اجتماعی,سلامت و بهداشت,12,10.178096
تهران,رفاه و عدالت اجتماعی,مسکن و سرپناه,12,1.591886
تهران,مسائل اجتماعی,جرم و ناامنی,3,3.107713
تهران,مسائل اجتماعی,سلامت اجتماعی,3,22.462973
تهران,مسائل اجتماعی,سبک زندگی و مصرف,3,5.4562058
تهران,مسائل اجتماعی,باورها و رفتارهای فرهنگی,3,46.855072
تهران,مسائل اجتماعی,روابط و امنیت اجتماعی,3,4.3207374
خراسان جنوبی,معنویت و ارزش‌های دینی,باور دینی,3,34.656525
خراسان جنوبی,معنویت و ارزش‌های دینی,عمل دینی,3,48.200356
خراسان جنوبی,معنویت و ارزش‌های دینی,هویت و پیوند دینی,3,17.526974
خراسان جنوبی,معنویت و ارزش‌های دینی,مشارکت مذهبی,3,39.024464
خراسان جنوبی,معنویت و ارزش‌های دینی,سبک زندگی دینی,3,28.570328
خراسان جنوبی,زندگی خانوادگی,تشکیل خانواده,9,1.5109372
خراسان جنوبی,زندگی خانوادگی,فرزندآوری,9,8.1944447
خراسان جنوبی,زندگی خانوادگی,روابط خانوادگی,9,48.783035
خراسان جنوبی,زندگی خانوادگی,پایداری خانواده,9,11.627885
خراسان جنوبی,مصرف فرهنگی و رسانه‌ای,سینما و تلویزیون,6,6.2288132
خراسان جنوبی,مصرف فرهنگی و رسانه‌ای,کتاب و مطبوعات,6,2.4495277
خراسان جنوبی,مصرف فرهنگی و رسانه‌ای,موسیقی و هنرهای تجسمی,6,2.5216734
خراسان جنوبی,مصرف فرهنگی و رسانه‌ای,مد و فراغت,6,33.232372
خراسان جنوبی,همبستگی و سرمایه اجتماعی,اعتماد و روابط اجتماعی,8,56.134819
خراسان جنوبی,همبستگی و سرمایه اجتماعی,هنجارها و سلامت نهادی,8,17.676666
خراسان جنوبی,همبستگی و سرمایه اجتماعی,مشارکت و کنش جمعی,8,38.622444
خراسان جنوبی,همبستگی و سرمایه اجتماعی,تعلق ملی,8,61.96257
خراسان جنوبی,دانش و سرمایه انسانی,عدالت آموزشی,5,2.4370756
خراسان جنوبی,دانش و سرمایه انسانی,فراگیری آموزش,5,4.1221838
خراسان جنوبی,دانش و سرمایه انسانی,کیفیت آموزشی,5,28.38854
خراسان جنوبی,معیشت و فرهنگ اقتصادی,الگوی مصرف,1,5.3803096
خراسان جنوبی,معیشت و فرهنگ اقتصادی,بازار کار و اشتغال,1,2.5108533
خراسان جنوبی,معیشت و فرهنگ اقتصادی,فرهنگ اقتصادی,1,27.13862
خراسان جنوبی,معیشت و فرهنگ اقتصادی,قدرت خرید و معیشت,1,13.89014
خراسان جنوبی,معیشت و فرهنگ اقتصادی,برخورداری اقتصادی,1,21.706535
خراسان جنوبی,رفاه و عدالت اجتماعی,انرژی و خدمات عمومی,2,7.7590532
خراسان جنوبی,رفاه و عدالت اجتماعی,حمایت اجتماعی,2,13.649077
خراسان جنوبی,رفاه و عدالت اجتماعی,زیرساخت آموزشی,2,14.644054
خراسان جنوبی,رفاه و عدالت اجتماعی,سلامت و بهداشت,2,61.208687
خراسان جنوبی,رفاه و عدالت اجتماعی,مسکن و سرپناه,2,7.5398707
خراسان جنوبی,مسائل اجتماعی,جرم و ناامنی,8,2.0711772
خراسان جنوبی,مسائل اجتماعی,سلامت اجتماعی,8,55.445919
خراسان جنوبی,مسائل اجتماعی,سبک زندگی و مصرف,8,14.275793
خراسان جنوبی,مسائل اجتماعی,باورها و رفتارهای فرهنگی,8,14.761338
خراسان جنوبی,مسائل اجتماعی,روابط و امنیت اجتماعی,8,45.79174
خراسان رضوی,معنویت و ارزش‌های دینی,باور دینی,5,26.122995
خراسان رضوی,معنویت و ارزش‌های دینی,عمل دینی,5,51.493763
خراسان رضوی,معنویت و ارزش‌های دینی,هویت و پیوند دینی,5,29.923599
خراسان رضوی,معنویت و ارزش‌های دینی,مشارکت مذهبی,5,51.368073
خراسان رضوی,معنویت و ارزش‌های دینی,سبک زندگی دینی,5,26.942503
خراسان رضوی,زندگی خانوادگی,تشکیل خانواده,2,6.7784147
خراسان رضوی,زندگی خانوادگی,فرزندآوری,2,55.697189
خراسان رضوی,زندگی خانوادگی,روابط خانوادگی,2,18.559156
خراسان رضوی,زندگی خانوادگی,پایداری خانواده,2,18.488731
خراسان رضوی,مصرف فرهنگی و رسانه‌ای,سینما و تلویزیون,2,32.513527
خراسان رضوی,مصرف فرهنگی و رسانه‌ای,کتاب و مطبوعات,2,4.8675246
خراسان رضوی,مصرف فرهنگی و رسانه‌ای,موسیقی و هنرهای تجسمی,2,70.40757
خراسان رضوی,مصرف فرهنگی و رسانه‌ای,مد و فراغت,2,22.462021
خراسان رضوی,همبستگی و سرمایه اجتماعی,اعتماد و روابط اجتماعی,4,9.7323055
خراسان رضوی,همبستگی و سرمایه اجتماعی,هنجارها و سلامت نهادی,4,13.777915
خراسان رضوی,همبستگی و سرمایه اجتماعی,مشارکت و کنش جمعی,4,7.6327276
خراسان رضوی,همبستگی و سرمایه اجتماعی,تعلق ملی,4,43.561878
خراسان رضوی,دانش و سرمایه انسانی,عدالت آموزشی,3,4.1670499
خراسان رضوی,دانش و سرمایه انسانی,فراگیری آموزش,3,15.92637
خراسان رضوی,دانش و سرمایه انسانی,کیفیت آموزشی,3,8.4926882
خراسان رضوی,معیشت و فرهنگ اقتصادی,الگوی مصرف,1,9.532093
خراسان رضوی,معیشت و فرهنگ اقتصادی,بازار کار و اشتغال,1,37.794792
