topic_name,index_score,province_name,province_pop,province_rank
زندگی خانوادگی,4.9417176,همدان,1767000,18
زندگی خانوادگی,45.013107,چهارمحال و بختیاری,1004000,7
زندگی خانوادگی,7.8202558,کردستان,1701000,30
زندگی خانوادگی,.88964736,کرمان,3463000,11
زندگی خانوادگی,9.4753714,کرمانشاه,1999000,28
زندگی خانوادگی,18.578629,کل کشور,87134000,
زندگی خانوادگی,14.704719,کهگیلویه و بویراحمد,767000,12
زندگی خانوادگی,57.099792,گلستان,2041000,5
زندگی خانوادگی,6.0447931,گیلان,2569000,29
زندگی خانوادگی,31.726784,یزد,1355000,4
مسائل اجتماعی,22.158802,آذربایجان شرقی,4121000,3
مسائل اجتماعی,36.460869,آذربایجان غربی,3579000,6
مسائل اجتماعی,29.139702,اردبیل,1300000,20
مسائل اجتماعی,55.025269,اصفهان,5475000,4
مسائل اجتماعی,.25609535,البرز,3097000,30
مسائل اجتماعی,4.3653908,ایلام,597000,31
مسائل اجتماعی,12.734105,بوشهر,1299000,24
مسائل اجتماعی,46.260979,تهران,14684000,9
مسائل اجتماعی,10.345037,خراسان جنوبی,862000,22
مسائل اجتماعی,23.293621,خراسان رضوی,7247000,5
مسائل اجتماعی,19.848387,خراسان شمالی,871000,21
مسائل اجتماعی,2.0953939,خوزستان,5186000,27
مسائل اجتماعی,2.78599,زنجان,1129000,28
مسائل اجتماعی,36.147064,سمنان,806000,2
مسائل اجتماعی,10.241099,سیستان و بلوچستان,3411000,26
مسائل اجتماعی,1.894776,فارس,5180000,15
مسائل اجتماعی,31.610567,قزوین,1358000,17
مسائل اجتماعی,30.697729,قم,1490000,23
مسائل اجتماعی,1.7192761,لرستان,1788000,10
مسائل اجتماعی,50.189247,مازندران,3438000,8
مسائل اجتماعی,53.881588,مرکزی,1476000,13
مسائل اجتماعی,17.925957,هرمزگان,2074000,7
مسائل اجتماعی,37.206684,همدان,1767000,16
مسائل اجتماعی,15.195943,چهارمحال و بختیاری,1004000,25
مسائل اجتماعی,43.325615,کردستان,1701000,11
مسائل اجتماعی,11.705047,کرمان,3463000,14
مسائل اجتماعی,10.559054,کرمانشاه,1999000,19
مسائل اجتماعی,44.640923,کل کشور,87134000,
مسائل اجتماعی,4.154458,کهگیلویه و بویراحمد,767000,29
مسائل اجتماعی,13.298284,گلستان,2041000,12
مسائل اجتماعی,17.813171,گیلان,2569000,18
مسائل اجتماعی,44.522015,یزد,1355000,1
مصرف فرهنگی و رسانه‌ای,8.1405334,آذربایجان شرقی,4121000,28
مصرف فرهنگی و رسانه‌ای,4.2813263,آذربایجان غربی,3579000,27
مصرف فرهنگی و رسانه‌ای,23.506842,اردبیل,1300000,22
مصرف فرهنگی و رسانه‌ای,30.47526,اصفهان,5475000,3
مصرف فرهنگی و رسانه‌ای,7.608674,البرز,3097000,14
مصرف فرهنگی و رسانه‌ای,.31543267,ایلام,597000,29
مصرف فرهنگی و رسانه‌ای,42.428474,بوشهر,1299000,11
مصرف فرهنگی و رسانه‌ای,47.220394,تهران,14684000,1
مصرف فرهنگی و رسانه‌ای,25.377514,خراسان جنوبی,862000,24
مصرف فرهنگی و رسانه‌ای,21.533127,خراسان رضوی,7247000,4
مصرف فرهنگی و رسانه‌ای,7.8191032,خراسان شمالی,871000,18
مصرف فرهنگی و رسانه‌ای,10.872651,خوزستان,5186000,16
مصرف فرهنگی و رسانه‌ای,3.1556766,زنجان,1129000,7
مصرف فرهنگی و رسانه‌ای,15.310992,سمنان,806000,8
مصرف فرهنگی و رسانه‌ای,1.2194084,سیستان و بلوچستان,3411000,31
مصرف فرهنگی و رسانه‌ای,55.90744,فارس,5180000,5
مصرف فرهنگی و رسانه‌ای,14.287952,قزوین,1358000,19
مصرف فرهنگی و رسانه‌ای,48.667416,قم,1490000,2
مصرف فرهنگی و رسانه‌ای,23.567854,لرستان,1788000,23
مصرف فرهنگی و رسانه‌ای,22.348494,مازندران,3438000,12
مصرف فرهنگی و رسانه‌ای,12.473913,مرکزی,1476000,13
مصرف فرهنگی و رسانه‌ای,4.3451619,هرمزگان,2074000,9
مصرف فرهنگی و رسانه‌ای,12.679635,همدان,1767000,17
مصرف فرهنگی و رسانه‌ای,10.911498,چهارمحال و بختیاری,1004000,6
مصرف فرهنگی و رسانه‌ای,11.995643,کردستان,1701000,26
مصرف فرهنگی و رسانه‌ای,.10599101,کرمان,3463000,30
مصرف فرهنگی و رسانه‌ای,13.620258,کرمانشاه,1999000,25
مصرف فرهنگی و رسانه‌ای,53.987659,کل کشور,87134000,
مصرف فرهنگی و رسانه‌ای,15.031939,کهگیلویه و بویراحمد,767000,20
مصرف فرهنگی و رسانه‌ای,3.3681278,گلستان,2041000,15
مصرف فرهنگی و رسانه‌ای,2.0564952,گیلان,2569000,21
مصرف فرهنگی و رسانه‌ای,.50237286,یزد,1355000,10
معنویت و ارزش‌های دینی,25.445818,آذربایجان شرقی,4121000,15
معنویت و ارزش‌های دینی,6.2475543,آذربایجان غربی,3579000,25
معنویت و ارزش‌های دینی,8.2852221,اردبیل,1300000,14
معنویت و ارزش‌های دینی,10.638144,اصفهان,5475000,23
معنویت و ارزش‌های دینی,4.6375504,البرز,3097000,30
معنویت و ارزش‌های دینی,7.8414578,ایلام,597000,27
معنویت و ارزش‌های دینی,15.391603,بوشهر,1299000,26
معنویت و ارزش‌های دینی,5.7964501,تهران,14684000,28
معنویت و ارزش‌های دینی,48.892464,خراسان جنوبی,862000,1
معنویت و ارزش‌های دینی,40.019417,خراسان رضوی,7247000,13
معنویت و ارزش‌های دینی,37.35194,خراسان شمالی,871000,16
معنویت و ارزش‌های دینی,4.0005116,خوزستان,5186000,5
معنویت و ارزش‌های دینی,4.874064,زنجان,1129000,4
معنویت و ارزش‌های دینی,36.892334,سمنان,806000,12
معنویت و ارزش‌های دینی,36.910263,سیستان و بلوچستان,3411000,3
معنویت و ارزش‌های دینی,19.973013,فارس,5180000,21
معنویت و ارزش‌های دینی,22.598061,قزوین,1358000,17
معنویت و ارزش‌های دینی,7.698524,قم,1490000,2
معنویت و ارزش‌های دینی,17.550356,لرستان,1788000,10
معنویت و ارزش‌های دینی,9.9867048,مازندران,3438000,8
معنویت و ارزش‌های دینی,10.882493,مرکزی,1476000,11
معنویت و ارزش‌های دینی,15.865196,هرمزگان,2074000,20
معنویت و ارزش‌های دینی,20.426222,همدان,1767000,24
معنویت و ارزش‌های دینی,28.66917,چهارمحال و بختیاری,1004000,19
معنویت و ارزش‌های دینی,2.657094,کردستان,1701000,31
معنویت و ارزش‌های دینی,50.569702,کرمان,3463000,9
معنویت و ارزش‌های دینی,19.950968,کرمانشاه,1999000,22
معنویت و ارزش‌های دینی,15.888917,کل کشور,87134000,
معنویت و ارزش‌های دینی,4.5849843,کهگیلویه و بویراحمد,767000,6
معنویت و ارزش‌های دینی,29.496353,گلستان,2041000,18
معنویت و ارزش‌های دینی,2.8495712,گیلان,2569000,29
معنویت و ارزش‌های دینی,46.448151,یزد,1355000,7
معیشت و فرهنگ اقتصادی,31.555584,آذربایجان شرقی,4121000,6
معیشت و فرهنگ اقتصادی,4.2550883,آذربایجان غربی,3579000,15
معیشت و فرهنگ اقتصادی,31.501228,اردبیل,1300000,11
معیشت و فرهنگ اقتصادی,44.529381,اصفهان,5475000,14
معیشت و فرهنگ اقتصادی,35.165936,البرز,3097000,16
معیشت و فرهنگ اقتصادی,11.248872,ایلام,597000,28
معیشت و فرهنگ اقتصادی,34.801582,بوشهر,1299000,5
معیشت و فرهنگ اقتصادی,4.5197563,تهران,14684000,26
معیشت و فرهنگ اقتصادی,21.158579,خراسان جنوبی,862000,21
معیشت و فرهنگ اقتصادی,17.006382,خراسان رضوی,7247000,17
معیشت و فرهنگ اقتصادی,57.717339,خراسان شمالی,871000,7
معیشت و فرهنگ اقتصادی,.63887191,خوزستان,5186000,20
معیشت و فرهنگ اقتصادی,5.2546902,زنجان,1129000,2
معیشت و فرهنگ اقتصادی,35.655262,سمنان,806000,18
معیشت و فرهنگ اقتصادی,2.3393092,سیستان و بلوچستان,3411000,31
معیشت و فرهنگ اقتصادی,8.5257549,فارس,5180000,22
معیشت و فرهنگ اقتصادی,21.10004,قزوین,1358000,4
معیشت و فرهنگ اقتصادی,21.009586,قم,1490000,13
معیشت و فرهنگ اقتصادی,3.1828258,لرستان,1788000,29
معیشت و فرهنگ اقتصادی,64.935074,مازندران,3438000,3
معیشت و فرهنگ اقتصادی,18.674023,مرکزی,1476000,19
معیشت و فرهنگ اقتصادی,16.098907,هرمزگان,2074000,25
معیشت و فرهنگ اقتصادی,41.258873,همدان,1767000,12
معیشت و فرهنگ اقتصادی,26.491867,چهارمحال و بختیاری,1004000,9
معیشت و فرهنگ اقتصادی,1.794283,کردستان,1701000,30
معیشت و فرهنگ اقتصادی,36.009384,کرمان,3463000,10
معیشت و فرهنگ اقتصادی,2.4802122,کرمانشاه,1999000,27
معیشت و فرهنگ اقتصادی,6.3265123,کل کشور,87134000,
معیشت و فرهنگ اقتصادی,21.512829,کهگیلویه و بویراحمد,767000,24
معیشت و فرهنگ اقتصادی,3.1696162,گلستان,2041000,23
معیشت و فرهنگ اقتصادی,40.148476,گیلان,2569000,8
معیشت و فرهنگ اقتصادی,87.160141,یزد,1355000,1
همبستگی و سرمایه اجتماعی,23.911449,آذربایجان شرقی,4121000,17
همبستگی و سرمایه اجتماعی,8.4305553,آذربایجان غربی,3579000,27
همبستگی و سرمایه اجتماعی,1.4375666,اردبیل,1300000,24
همبستگی و سرمایه اجتماعی,36.471489,اصفهان,5475000,12
همبستگی و سرمایه اجتماعی,4.1741529,البرز,3097000,28
همبستگی و سرمایه اجتماعی,27.449234,ایلام,597000,13
همبستگی و سرمایه اجتماعی,12.988276,بوشهر,1299000,23
همبستگی و سرمایه اجتماعی,11.174338,تهران,14684000,29
همبستگی و سرمایه اجتماعی,37.602715,خراسان جنوبی,862000,1
همبستگی و سرمایه اجتماعی,42.123306,خراسان رضوی,7247000,14
همبستگی و سرمایه اجتماعی,18.657431,خراسان شمالی,871000,3
همبستگی و سرمایه اجتماعی,3.4640501,خوزستان,5186000,26
همبستگی و سرمایه اجتماعی,2.610347,زنجان,1129000,16
همبستگی و سرمایه اجتماعی,25.169477,سمنان,806000,6
همبستگی و سرمایه اجتماعی,13.642326,سیستان و بلوچستان,3411000,22
همبستگی و سرمایه اجتماعی,18.428947,فارس,5180000,18
همبستگی و سرمایه اجتماعی,.52276856,قزوین,1358000,11
همبستگی و سرمایه اجتماعی,19.422129,قم,1490000,2
همبستگی و سرمایه اجتماعی,1.0724194,لرستان,1788000,25
همبستگی و سرمایه اجتماعی,22.943434,مازندران,3438000,8
همبستگی و سرمایه اجتماعی,23.45516,مرکزی,1476000,10
همبستگی و سرمایه اجتماعی,5.5305195,هرمزگان,2074000,20
همبستگی و سرمایه اجتماعی,11.340874,همدان,1767000,30
همبستگی و سرمایه اجتماعی,11.072688,چهارمحال و بختیاری,1004000,7
همبستگی و سرمایه اجتماعی,3.2833717,کردستان,1701000,31
همبستگی و سرمایه اجتماعی,13.768002,کرمان,3463000,15
همبستگی و سرمایه اجتماعی,19.651196,کرمانشاه,1999000,21
همبستگی و سرمایه اجتماعی,15.128036,کل کشور,87134000,
همبستگی و سرمایه اجتماعی,7.529882,کهگیلویه و بویراحمد,767000,4
همبستگی و سرمایه اجتماعی,41.032127,گلستان,2041000,5
همبستگی و سرمایه اجتماعی,15.192759,گیلان,2569000,19
همبستگی و سرمایه اجتماعی,21.198051,یزد,1355000,9
